id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes
7,mundo,UC Berkeley,https://www.berkeley.edu,1.1.1,23a2a8,Image has non-empty accessible name,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,1.1.1,qt1vmo,Image accessible name is descriptive,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,1.1.1,e88epe,Image not in the accessibility tree is decorative,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,1.4.3,afw4f7,Text has minimum contrast,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,c487ae,Link has non-empty accessible name,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,5effbb,Link in context is descriptive,,,,,,,,,,
7,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,fd3a94,Links with identical accessible names and same context serve equivalent purpose,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,1.1.1,23a2a8,Image has non-empty accessible name,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,1.1.1,qt1vmo,Image accessible name is descriptive,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,1.1.1,e88epe,Image not in the accessibility tree is decorative,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,1.4.3,afw4f7,Text has minimum contrast,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,2.4.4,c487ae,Link has non-empty accessible name,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,2.4.4,5effbb,Link in context is descriptive,,,,,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,2.4.4,fd3a94,Links with identical accessible names and same context serve equivalent purpose,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,1.1.1,23a2a8,Image has non-empty accessible name,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,1.1.1,qt1vmo,Image accessible name is descriptive,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,1.1.1,e88epe,Image not in the accessibility tree is decorative,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,1.4.3,afw4f7,Text has minimum contrast,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,c487ae,Link has non-empty accessible name,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,5effbb,Link in context is descriptive,,,,,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,fd3a94,Links with identical accessible names and same context serve equivalent purpose,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.1.1,23a2a8,Image has non-empty accessible name,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.1.1,qt1vmo,Image accessible name is descriptive,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.1.1,e88epe,Image not in the accessibility tree is decorative,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,1.4.3,afw4f7,Text has minimum contrast,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,c487ae,Link has non-empty accessible name,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,5effbb,Link in context is descriptive,,,,,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,fd3a94,Links with identical accessible names and same context serve equivalent purpose,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,1.1.1,23a2a8,Image has non-empty accessible name,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,1.1.1,qt1vmo,Image accessible name is descriptive,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,1.1.1,e88epe,Image not in the accessibility tree is decorative,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,1.4.3,afw4f7,Text has minimum contrast,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,c487ae,Link has non-empty accessible name,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,5effbb,Link in context is descriptive,,,,,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,fd3a94,Links with identical accessible names and same context serve equivalent purpose,,,,,,,,,,
