id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,empty_placeholder,evaluator_code,date,outcome_TOFILL,justification_TOFILL
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,1,img,div.row > div.col-6 > a.navbar-brand > img,NUS,alt,https://nus.edu.sg/images/default-source/base/logo.png,currentSrc,,66,30,300,137,https://nus.edu.sg/,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,6,img,div.owl-item > div > a > img.img-responsive,University Awards: Recognising excellence,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/feature_banner_mobile.jpg?t=1788506610,currentSrc,,756,709,2000,1875,https://nus.edu.sg/uawards/home?utm_source=Corpsite&utm_medium=FeaturedBanner,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,7,img,div.item > div > a.hover > img.img-responsive,What the Straits of Malacca and Singapore can teach the world about international cooperation,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/h1.jpg?t=1788506610,currentSrc,,696,392,960,540,https://news.nus.edu.sg/what-the-straits-of-malacca-and-singapore-can-teach-the-world-about-international-cooperation/?utm_source=Corpsite&utm_medium=Highlight,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,8,img,div.item > div > a.hover > img.img-responsive,Fostering an AI-fluent generation: NUS equips students to use AI well,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/h2.jpg?t=1788506610,currentSrc,,696,392,960,540,https://news.nus.edu.sg/fostering-an-ai-fluent-generation-nus-equips-students-to-use-ai-well/?utm_source=Corpsite&utm_medium=Highlight,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,9,img,div.item > div > a.hover > img.img-responsive,Three NUS trailblazers honoured with nation’s top research accolades,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/h3.jpg?t=1788506610,currentSrc,,696,392,960,540,https://news.nus.edu.sg/three-nus-trailblazers-honoured-with-nations-top-research-accolades/?utm_source=Corpsite&utm_medium=Highlight,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,10,img,div.item > div > a.hover > img.img-responsive,STMicroelectronics and NUS launch Corporate Lab to power the future of Edge AI in Singapore,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/h4.jpg?t=1788506610,currentSrc,,696,392,960,540,https://news.nus.edu.sg/stmicroelectronics-nus-launch-corp-lab-to-power-future-of-edge-ai-in-singapore/?utm_source=Corpsite&utm_medium=Highlight,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,15,img,div.container > div.row > div > img.img-responsive,NUS President,alt,https://nus.edu.sg/images/default-source/corporate/homepage/nus-president-2022.jpg,currentSrc,,696,263,2173,822,,"Shaping the Future ""At NUS, we are moving boldly — and concertedly — to expand tomorrow's frontiers. We believe that we have the power to shape the future, for the better."" Learn more",,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,17,img,div.owl-item > div > a.hover > img,Volunteering with TriGen,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/ig1.jpg?t=1788506610,currentSrc,,244,244,640,640,https://www.instagram.com/nus_singapore/p/Dc0p91_Evdc/?hl=en,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,18,img,div.owl-item > div > a.hover > img,NUS Law Bicentennial Lecture,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/ig2.jpg?t=1788506610,currentSrc,,244,244,640,640,https://www.instagram.com/nuspresident/p/DcyEcMJk9dQ/?hl=en,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,19,img,div.owl-item > div > a.hover > img,Sounds of NUS,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/ig3.jpg?t=1788506610,currentSrc,,244,244,640,640,https://www.instagram.com/nus_alumni/reel/DckzTh6vmJi/?hl=en,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,20,img,div.owl-item > div > a.hover > img,Soft robots,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/ig4.jpg?t=1788506610,currentSrc,,244,244,640,640,https://www.instagram.com/p/Dcht9NOAV3T/?hl=en,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,21,img,div.owl-item > div > a.hover > img,Experiential learning journeys to the Singapore Courts,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/ig5.jpg?t=1788506610,currentSrc,,244,244,640,640,https://www.instagram.com/p/Dcf8pjlD1H_/?hl=en&img_index=1,,,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,22,img,div.row > div.col-md-6 > a.hover > img.img-responsive,The problem with separate MMR vaccines,alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/tl1.jpg?t=1788506610,currentSrc,,359,202,960,540,https://nus.edu.sg/thought-leadership/the-problem-with-separate-mmr-vaccines,"The problem with separate MMR vaccines The US push for standalone measles, mumps and rubella vaccines instead of a combined vaccine makes childhood immunisation more inconvenient amid a global measles",,,R02,2026-09-08,,
22,mundo,NUS,https://nus.edu.sg/,1.1.1,qt1vmo,23,img,div.row > div.col-md-6 > a.hover > img.img-responsive,"When it comes to land use, Singapore keeps some options open",alt,https://nus.edu.sg/images/default-source/corporate/homepage-refresh/20260904/tl2.jpg?t=1788506610,currentSrc,,359,202,960,540,https://nus.edu.sg/thought-leadership/when-it-comes-to-land-use--singapore-keeps-some-options-open,"When it comes to land use, Singapore keeps some options open The goal is not to postpone development indefinitely, but to prevent today’s choices from unnecessarily closing off tomorrow’s possibilitie",,,R02,2026-09-08,,
