id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,empty_placeholder,evaluator_code,date,outcome_TOFILL,justification_TOFILL
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,48,div,div.elementor-main-swiper > div.swiper-wrapper > div.swiper-slide > div.elementor-carousel-image,Movilidad Emovies 2026,aria-label,,,,174,600,,,,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,49,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,CalendarioAcademicoPI2026,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/04/CalendarioAcademicoPI2026.webp,background-image de el mismo,,174,600,,,https://drive.google.com/file/d/1-uWkPoYXYOI9dfVW4DepA6pHgNheGazl/view?usp=sharing,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,50,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,C.agropecuaria,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/C.agropecuaria.webp,background-image de el mismo,,174,600,,,https://docs.google.com/document/d/1rSGRPfO-0ChEO3c24hyVKDsR_Scyk4Ac/edit?usp=drive_link&ouid=103953425909887807401&rtpof=true&sd=true,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,51,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,MovilidadUBE,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/09/MovilidadUBE.webp,background-image de el mismo,,174,600,,,https://drive.google.com/file/d/1meTNWb-8_dBv3icFUOXCpQsIfgWrNUIl/view?usp=sharing,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,52,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,Clase ESPE 2026,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/Clase-ESPE-2026.webp,background-image de el mismo,,174,600,,,https://drive.google.com/drive/folders/1jOGAmi3R7EQ2FVGllR9WfaH5l0g-2URD?usp=sharing,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,53,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,XII Seminario Cientifico,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/XII-Seminario-Cientifico.webp,background-image de el mismo,,174,600,,,https://reima-ec.org/xiiscicuds-xviteima-2026/,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,54,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,Unochapeco Internacional,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/Unochapeco-Internacional.webp,background-image de el mismo,,174,600,,,https://forms.gle/GHFjo589tfK2kY4M6,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,55,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,Contador Ecuatoriano,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/Contador-Ecuatoriano.webp,background-image de el mismo,,174,600,,,https://drive.google.com/file/d/1XrUxvaSsFWAW00X2oaeHlqOvxY40dk9a/view?usp=drive_link,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,56,div,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,Taller Internacional-2,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/Taller-Internacional-2.webp,background-image de el mismo,,174,600,,,https://reima-ec.org/xiiscicuds-xviteima-2026,,,,R02,2026-09-08,,
83,ecuador,UNESUM,https://unesum.edu.ec/,1.1.1,qt1vmo,57,div,div.elementor-main-swiper > div.swiper-wrapper > div.swiper-slide > div.elementor-carousel-image,Clases Espejo COIL,aria-label,https://unesum.edu.ec/wp-content/uploads/2026/08/Clases-Espejo-COIL.webp,background-image de el mismo,,174,600,,,,,,,R02,2026-09-08,,
