id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes,dialog_state
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,1,html > body.home > a.whatsapp-btn > span.whatsapp-text,si,falla,1.98:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 14.0px negrita); texto: ""Chatea con nosotros""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,2,html > body.home > a.skip-link,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,3,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Sede Ambato - Simón Bolivar""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,4,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Sede Ambato - Manuela Sáenz""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,5,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Sede Quito""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,6,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Sede Latacunga""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,7,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Parque Tecnológico""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,8,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Aula Virtual""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,9,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""SGA""",sin CMP detectada
114,ecuador,UTI,https://www.indoamerica.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,10,ul.elementor-icon-list-items > li.elementor-icon-list-item > a > span.elementor-icon-list-text,si,cumple,13.14:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 10.0px); texto: ""Correo""",sin CMP detectada
