id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes,dialog_state
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,1,body.uom-home > header.headerContainer > div > a.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,2,body.uom-home > header.headerContainer > div > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,3,body.uom-home > header.headerContainer > div > a.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,4,body.uom-home > header.headerContainer > div > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,5,body.uom-home > header.headerContainer > div > a.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,6,nav.primaryNav > ul.megaMenu > li.menuItem > a.home,si,cumple,9.40:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 17.5px); texto: ""Home""",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,7,#megaLink-study,si,cumple,12.63:1,,R02,2026-09-08,,"umbral 4.5:1 (texto normal, 20.0px); texto: ""Study""",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,8,div.row > div.megaSubPanel > p > a.first-link,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,9,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,10,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,11,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,12,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,13,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,14,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,15,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,16,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,17,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,18,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,19,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,20,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,21,div.megaSubPanel > ul > li > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
40,mundo,Manchester,https://www.manchester.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,22,ul > li > a > span.screenreader,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
