id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes,dialog_state
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,1,html.js > body.colour-scheme--woburn-warmth > a.sr-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,2,div.header__top > div.header__top-container > a.header__link > span.sr-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,3,form.ucl-search-form > div.form-item > div.js-form-item > label.sr-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,4,div.form-item > div.js-form-item > label.sr-only > span.form--optional,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,5,div.header-search-form > form.ucl-search-form > button.button > span.sr-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,6,#block-indigo-main-menu-menu,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,7,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,8,div > ul.global-navigation > li.global-navigation__item > a.global-navigation__link,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,9,ul.global-navigation > li.global-navigation__item > div.global-navigation--sub-wrapper > button.button,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,10,ul.global-navigation > li.global-navigation__item > div.global-navigation--sub-wrapper > p.global-navigation__paragraph,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,11,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,12,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,13,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,14,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,15,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,16,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,17,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,18,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,19,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,20,ul.global-navigation > li.global-navigation__item > a.global-navigation__link > span.link__content,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,21,li.global-navigation__item > div.global-navigation--sub-wrapper > button.button > span.sr-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
14,mundo,UCL,https://www.ucl.ac.uk/,1.4.3,afw4f7,Text has minimum contrast,22,div > ul.global-navigation > li.global-navigation__item > a.global-navigation__link,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
