id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,empty_placeholder,evaluator_code,date,outcome_TOFILL,justification_TOFILL
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,4,img,section.brxe-section > div.brxe-container > a.brxe-logo > img.bricks-site-logo,Universidad Tecnológica ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/05/logo-ecotec-actualizado-768x242.png,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2026/05/logo-ecotec-actualizado-300x94.png 300w, https://ecotec.edu.ec/wp-content/uploads/2026/05/logo-ecotec-actualizado-1024x322.png 1024w, https://ecotec.edu.ec/wp-content/uploads/2026/05/logo-ecotec-actualizado-768x242.png 768w, https://ecotec.edu.ec/wp-content/uploads/2026/05/logo-ecotec-actualizado-1536x483.png 1536w, https://ecotec.edu.ec/wp-content/",140,44,300,94,https://ecotec.edu.ec/,Estudia en ECOTECOferta académicaCarreras de gradoPosgradoOnlineDesarrollo ProfesionalAdmisionesPensión diferenciadaCalendario académico InternacionalEmpleabilidad Global NEWConveniosDepartamento de i,,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,11,img,#brxe-cjzhan,Reconocimiento QS Stars de Universidad ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-768x274.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-300x107.webp 300w, https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-1024x366.webp 1024w, https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-768x274.webp 768w, https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-1536x548.webp 1536w, https://ecotec.edu.ec/wp-content/uploads/2026/02/qs-logo-white-2048x",98,35,300,107,,,,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,12,img,#brxe-lceyro,Reconocimiento Times Higher Education de Universidad ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-768x397.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-300x155.webp 300w, https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-1024x529.webp 1024w, https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-768x397.webp 768w, https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-1536x793.webp 1536w, https://ecotec.edu.ec/wp-content/uploads/2026/02/the-logo-white-",98,51,300,155,,,,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,13,img,#brxe-qvkomt,World University Rankings América y el Caribe,alt,https://ecotec.edu.ec/wp-content/uploads/2026/02/innovatec-logo-white-768x251.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2026/02/innovatec-logo-white-300x98.webp 300w, https://ecotec.edu.ec/wp-content/uploads/2026/02/innovatec-logo-white-1024x335.webp 1024w, https://ecotec.edu.ec/wp-content/uploads/2026/02/innovatec-logo-white-768x251.webp 768w, https://ecotec.edu.ec/wp-content/uploads/2026/02/innovatec-logo-white-1536x502.webp 1536w, https://ecotec.edu.ec/wp-content/uploads/",98,32,300,98,,,,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,14,img,#brxe-svibil,Pin de ubicación del campus Samborondón de la Universidad ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-samborondon.webp,currentSrc,,35,44,105,132,,"<img width=""105"" height=""132"" src=""https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-samborondon.webp"" class=""brxe-image pin-locators css-filter size-full"" alt=""Pin de ubicación del campus Samb",,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,15,img,#brxe-ckqzar,Marcador de ubicación del campus Guayaquil ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-guayaquil.webp,currentSrc,,35,44,105,132,,"<img width=""105"" height=""132"" src=""https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-guayaquil.webp"" class=""brxe-image pin-locators css-filter size-full"" alt=""Marcador de ubicación del campus G",,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,16,img,#brxe-gnaqpk,Marcador de ubicación de campus universitario ECOTEC,alt,https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-costa.webp,currentSrc,,35,44,105,132,,"<img width=""105"" height=""132"" src=""https://ecotec.edu.ec/wp-content/uploads/2026/03/isotipo-costa.webp"" class=""brxe-image pin-locators css-filter size-full"" alt=""Marcador de ubicación de campus univer",,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,17,img,#brxe-peagnx,Icono de comillas decorativas,alt,https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp 400w, https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image-300x300.webp 300w, https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image-150x150.webp 150w",90,90,400,400,,"<img width=""400"" height=""400"" src=""https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp"" class=""brxe-image css-filter size-full"" alt=""Icono de comillas decorativas"" id=""brxe-peagnx"" decod",,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,18,img,#brxe-hbtxfo,Icono de comillas decorativas,alt,https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp 400w, https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image-300x300.webp 300w, https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image-150x150.webp 150w",90,90,400,400,,"<img width=""400"" height=""400"" src=""https://ecotec.edu.ec/wp-content/uploads/2025/09/quote-image.webp"" class=""brxe-image css-filter size-full"" alt=""Icono de comillas decorativas"" id=""brxe-peagnx"" decod",,,R04,2026-09-09,,
124,ecuador,ECOTEC,https://ecotec.edu.ec/,1.1.1,qt1vmo,19,img,#brxe-svayjy,Retrato profesional de directivo institucional,alt,https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763140532831.webp,currentSrc,"https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763140532831.webp 770w, https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763140532831-193x300.webp 193w, https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763140532831-657x1024.webp 657w, https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763",307,478,770,1200,,"<img width=""770"" height=""1200"" src=""https://ecotec.edu.ec/wp-content/uploads/2025/11/dr-passailague-banner-web-e1763140532831.webp"" class=""brxe-image css-filter size-full"" alt=""Retrato profesional de ",,,R04,2026-09-09,,
