id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes,dialog_state
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,1,form > div.nus-sidebar-off-canvas > div.header > h2,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,2,form > div.nus-sidebar-off-canvas > div.header > button.close,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,3,div.nus-module > div.module-inner > h3.title > span,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,4,div.module-ct > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,5,div.module-ct > ul.nav > li.mobile-mega-menu-parent > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,6,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,7,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,8,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,9,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,10,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,11,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,12,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,13,div.module-ct > ul.nav > li.mobile-mega-menu-parent > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,14,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,15,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,16,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,17,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,18,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,19,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,20,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,21,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,22,ul.nav > li > ul.nav > li,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,23,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,24,li.mobile-mega-menu-parent > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,25,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,26,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
22,mundo,NUS,https://nus.edu.sg/,1.4.3,afw4f7,Text has minimum contrast,27,li > ul.nav > li > a,no,,,,R04,2026-09-09,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",modal cerrado
