abbr,id,group,criterion,act_rule,element_n,selector,accessible_name,src_or_href,programmatic_context,warning,outcome_TOFILL,justification_TOFILL
UC Berkeley,7,mundo,1.1.1,qt1vmo,2,div.title > h1 > a.logo > img,UC Berkeley home,rkeley.edu/wp-content/themes/berkeleygateway/img/logo-berkeley.svg?v=3,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,3,div.column > div.column__image > div.bg-image-wrap > img,A photo of a researcher in a white lab coat and hairnet sitting at a desk looking into a large microscope.,erkeley.edu/wp-content/uploads/2025/06/afo_235b-scaled-1-2048x1362.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,4,div.column > div.column__image > div.bg-image-wrap > img,A scientist wearing a blue lab coat that reads,berkeley.edu/wp-content/uploads/2025/06/83A5230-scaled-1-2048x1366.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,5,div.column > div.column__image > div.bg-image-wrap > img,"Jennifer Doudna, in a white lab coat, points at computer screen while speaking to a student in her biochemistry lab at t",ontent/uploads/2026/09/20190103_JenniferDoudna_bhs_003-1-2048x1365.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,14,div.column > div.column__image > div.bg-image-wrap > img,"students congregate on a lawn in groups and one holds a large flag that says Cal. The Campanile is in the background, al",ps://www.berkeley.edu/wp-content/uploads/2025/06/DSC_3339-scaled-1.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,15,div.column > div.column__image > div.bg-image-wrap > img,interior of a large law library with many books and large tables for studying,://www.berkeley.edu/wp-content/uploads/2025/06/DSC_2595-2-scaled-1.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,16,div.column > div.column__image > div.bg-image-wrap > img,Long exposure image with a focused Sather Gate and blurred individuals walking through it,https://www.berkeley.edu/wp-content/uploads/2025/06/DSC_1135.jpg,,,,
UC Berkeley,7,mundo,1.1.1,qt1vmo,21,div.content-container > div.component > a.logo > img,UC Berkeley,y.edu/wp-content/themes/berkeleygateway/img/logo-berkeley-gold.svg?v=3,,,,
UCL,14,mundo,2.4.4,5effbb,1,html.js > body.colour-scheme--woburn-warmth > a.sr-only,Skip to main content,#main-content,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,2,header.header > div.header__top > div.header__top-container > a.header__link,Navigate back to homepage,https://www.ucl.ac.uk/,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,3,div.cta-item__container > div.cta-item > div.cta-item__content > a.button,Apply now,https://www.ucl.ac.uk/prospective-students/graduate/masters-,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,4,div.curated-cards > div.base-card > div.base-card__container > a.link,Undergraduate Open Days,https://www.ucl.ac.uk/study/prospective-students/open-days/u,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,5,div.curated-cards > div.base-card > div.base-card__container > a.link,How we support our students,https://www.ucl.ac.uk/students/support-and-wellbeing-service,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,6,div.row > div.base-card > div.base-card__container > a.link,Possible hint of dark matter recorded,https://www.ucl.ac.uk/news/2026/sep/possible-hint-dark-matte,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,7,div.row > div.base-card > div.base-card__container > a.link,First patient in live AI-assisted sight-saving brain surgery,https://www.ucl.ac.uk/news/2026/aug/first-patient-live-ai-as,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,8,div.row > div.base-card > div.base-card__container > a.link,Spy device detectors fail users most reliant on them,https://www.ucl.ac.uk/news/2026/aug/spy-device-detectors-fai,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,9,div.row > div.card-link > div.card-link__content > a.link,More news,https://www.ucl.ac.uk/news/latest-news,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
