id,group,abbr,url,reviewer,n_codings,code_1_1_1,upper_bound_1_1_1,f_1_1_1,n_1_1_1,prop_1_1_1,status_1_1_1,code_1_4_3,upper_bound_1_4_3,f_1_4_3,n_1_4_3,prop_1_4_3,status_1_4_3,code_2_4_4,upper_bound_2_4_4,f_2_4_4,n_2_4_4,prop_2_4_4,status_2_4_4,undecided_axe_rules
7,mundo,UC Berkeley,https://www.berkeley.edu,Revisor,1,0,0,7,20,"0,350",un solo codificador,1,1,0,13,"0,000",un solo codificador,P,P,1,25,"0,040",un solo codificador,color-contrast; identical-links-same-purpose
14,mundo,UCL,https://www.ucl.ac.uk,Revisor,1,P,P,1,25,"0,040",un solo codificador,1,1,0,25,"0,000",un solo codificador,P,P,4,25,"0,160",un solo codificador,color-contrast-enhanced; color-contrast; identical-links-same-purpose
15,mundo,Cornell,https://www.cornell.edu,Revisor,1,P,P,2,25,"0,080",un solo codificador,P,P,2,25,"0,080",un solo codificador,P,P,2,25,"0,080",un solo codificador,color-contrast; color-contrast-enhanced; aria-prohibited-attr; video-caption; identical-links-same-purpose
22,mundo,NUS,https://nus.edu.sg,Revisor,1,0,0,9,25,"0,360",un solo codificador,P,P,1,25,"0,040",un solo codificador,0,0,6,25,"0,240",un solo codificador,color-contrast; identical-links-same-purpose
29,mundo,Northwestern,https://www.northwestern.edu,Revisor,2,0,0,18|9,25|16,"0,720|0,562",concordante,P,1,2|0,25|23,"0,080|0,000",discrepancia,P,1,0|3,25|25,"0,000|0,120",discrepancia,video-caption; aria-valid-attr-value; color-contrast
40,mundo,Manchester,https://www.manchester.ac.uk,Revisor,2,P,1,0|3,20|21,"0,000|0,143",discrepancia,P,P,2,25,"0,080",un solo codificador,1,1,0|0,25|25,"0,000|0,000",concordante,color-contrast
58,mundo,HKUST,https://hkust.edu.hk/,Revisor,1,1,1,0,25,"0,000",un solo codificador,P,P,3,20,"0,150",un solo codificador,1,1,0,25,"0,000",un solo codificador,color-contrast; color-contrast-enhanced; identical-links-same-purpose; video-caption
83,ecuador,UNESUM,https://unesum.edu.ec,Revisor,2,0,1,0|6,21|27,"0,000|0,222",discrepancia,P,1,0|1,12|18,"0,000|0,056",discrepancia,0,1,0|8,25|25,"0,000|0,320",discrepancia,color-contrast; color-contrast-enhanced; aria-valid-attr-value; aria-prohibited-attr
95,ecuador,USECIPOL,https://usecipol.edu.ec,Revisor,2,0,0,7|7,17|25,"0,412|0,280",concordante,1,1,0,25,"0,000",un solo codificador,1,1,0|0,25|25,"0,000|0,000",concordante,color-contrast; video-caption
96,ecuador,IAEN,https://www.iaen.edu.ec,Revisor,2,0,0,2|21,7|24,"0,286|0,875",concordante,0,0,4|5,16|21,"0,250|0,238",concordante,0,P,2|7,18|25,"0,111|0,280",discrepancia,color-contrast; aria-valid-attr-value; color-contrast-enhanced; identical-links-same-purpose
102,ecuador,ULVR,https://www.ulvr.edu.ec,Revisor,3,0,P,4|1|22,9|8|26,"0,444|0,125|0,846",discrepancia,0,P,2|6|5,25|15|23,"0,080|0,400|0,217",discrepancia,0,0,8|10|9,25|25|25,"0,320|0,400|0,360",concordante,color-contrast; identical-links-same-purpose
103,ecuador,UTPL,https://www.utpl.edu.ec,Revisor,2,P,P,5|5,25|25,"0,200|0,200",concordante,0,P,6|2,6|25,"1,000|0,080",discrepancia,0,P,2|6,82|25,"0,024|0,240",discrepancia,color-contrast; identical-links-same-purpose; video-caption; no-autoplay-audio
106,ecuador,UPS,https://www.ups.edu.ec,Revisor,1,0,0,16,26,"0,615",un solo codificador,P,P,1,18,"0,056",un solo codificador,P,P,3,25,"0,120",un solo codificador,color-contrast; color-contrast-enhanced; identical-links-same-purpose
114,ecuador,UTI,https://www.indoamerica.edu.ec,Revisor,1,0,0,23,34,"0,676",un solo codificador,0,0,3,12,"0,250",un solo codificador,0,0,24,115,"0,209",un solo codificador,color-contrast; color-contrast-enhanced; aria-valid-attr-value; aria-prohibited-attr; identical-links-same-purpose
124,ecuador,ECOTEC,https://ecotec.edu.ec,Revisor,1,P,P,4,36,"0,111",un solo codificador,0,0,5,15,"0,333",un solo codificador,P,P,4,95,"0,042",un solo codificador,color-contrast; color-contrast-enhanced; identical-links-same-purpose; video-caption
