bloque,abbr,group,criterion,act_rule,selector,element_n_R02,element_n_R04,outcome_R02,outcome_R04,measured_R02,measured_R04
A_mecanicas,Cornell,mundo,1.4.3,afw4f7,div > form.search-main > div.container > label.offscreen,97,97,falla,cumple,1.00:1,9.81:1
A_mecanicas,UTI,ecuador,2.4.4,c487ae,div.has_ae_slider > div.elementor-element > div.elementor-widget-container > a,16,16,falla,cumple,,
A_mecanicas,UTI,ecuador,2.4.4,c487ae,div.pp-tiles-posts-right > div.pp-tiled-post > div.pp-tiled-post-bg > a.pp-post-link,45,42,cumple,falla,,
B_juicio,ECOTEC,ecuador,1.1.1,qt1vmo,#brxe-cjzhan,11,11,falla,cumple,,
B_juicio,ECOTEC,ecuador,1.1.1,qt1vmo,#brxe-qvkomt,13,13,falla,cumple,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.footer__awards > a.footer__awards-image-link > div.footer__awards-image > img,81,81,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.header__wrapper > div.header__logo > div.field > img,1,1,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.header__wrapper > div.header__logo > div.field > img,2,2,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.header__wrapper > div.header__logo > div.field > img,3,3,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.header__wrapper > div.header__logo > div.field > img,4,4,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-first > div.home-first__wrapper > div.home-first__text-image > img,27,27,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-ranking > div.home-ranking__wrapper > div.home-ranking__bg > img.home-ranking__bg--img,25,25,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-slider__slide > div.home-slider__slide--background > picture > img,12,12,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-slider__slide > div.home-slider__slide--background > picture > img,13,13,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-slider__slide > div.home-slider__slide--background > picture > img,15,15,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-slider__slide > div.home-slider__slide--background > picture > img,16,16,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,62,62,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,28,28,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,30,30,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,32,32,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,34,34,cumple,falla,,
B_juicio,HKUST,mundo,1.1.1,qt1vmo,span.field-content > div.news-item > div.news-item__thumbnail > img.image-style-hkust-home-news,22,22,cumple,falla,,
B_juicio,Northwestern,mundo,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > img,3,3,falla,cumple,,
B_juicio,Northwestern,mundo,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > img,5,5,falla,cumple,,
B_juicio,Northwestern,mundo,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > img,6,6,falla,cumple,,
B_juicio,Northwestern,mundo,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > img,8,8,falla,cumple,,
B_juicio,UC Berkeley,mundo,1.1.1,qt1vmo,div.column > div.column__image > div.bg-image-wrap > img,4,4,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.cta-item__container > div.cta-item > div.cta-item__content > a.button,3,3,cumple,falla,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.row > div.pre-footer-card > div.pre-footer-card__container > a.link,30,30,cumple,falla,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,47,47,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,48,48,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,49,49,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,50,50,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,51,51,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,52,52,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,53,53,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,5effbb,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,54,54,falla,cumple,,
B_juicio,UCL,mundo,2.4.4,fd3a94,div.spotlight > div.row > div.spotlight__content > a.link ; div.spotlight > div.row > div.spotlight__content > a.link,10+15,10+15,cumple,falla,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.elementor-main-swiper > div.swiper-wrapper > div.swiper-slide > div.elementor-carousel-image,67,59,falla,cumple,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,57,57,falla,cumple,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,58,58,cumple,falla,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,60,60,cumple,falla,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,62,62,cumple,falla,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,65,65,cumple,falla,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,68,68,falla,cumple,,
B_juicio,UNESUM,ecuador,1.1.1,qt1vmo,div.swiper-wrapper > div.swiper-slide > a > div.elementor-carousel-image,70,70,falla,cumple,,
B_juicio,UPS,ecuador,1.1.1,qt1vmo,#ico_6,23,23,cumple,falla,,
B_juicio,UPS,ecuador,1.1.1,qt1vmo,div.mx-auto > a.d-block > span.text-center > img.mx-auto,124,124,cumple,falla,,
B_juicio,UPS,ecuador,1.1.1,qt1vmo,div.row > div.col-3 > a.w-100 > img.img-fluid,85,85,cumple,falla,,
B_juicio,UPS,ecuador,1.1.1,qt1vmo,div.row > div.col-3 > a.w-100 > img.img-fluid,87,87,cumple,falla,,
B_juicio,UPS,ecuador,1.1.1,qt1vmo,div.row > div.col-3 > a.w-100 > img.img-fluid,93,93,cumple,falla,,
B_juicio,UTI,ecuador,1.1.1,qt1vmo,div.elementor-widget-container > div.elementor-cta > div.elementor-cta__bg-wrapper > div.elementor-cta__bg,44,27,falla,cumple,,
