bloque,estrato,n,acuerdo,kappa,ic_inf,ic_sup,nota
A_mecanicas,regla 23a2a8,418,1.0000,1.0000,1.0000,1.0000,
A_mecanicas,regla afw4f7,1645,0.9994,0.9978,0.9934,1.0000,
A_mecanicas,regla c487ae,1126,0.9982,0.9911,0.9788,1.0000,
A_mecanicas,criterio 1.1.1,418,1.0000,1.0000,1.0000,1.0000,
A_mecanicas,criterio 1.4.3,1645,0.9994,0.9978,0.9934,1.0000,
A_mecanicas,criterio 2.4.4,1126,0.9982,0.9911,0.9788,1.0000,
A_mecanicas,TOTAL,3189,0.9991,0.9959,0.9913,1.0000,
B_juicio,regla 5effbb,61,0.8361,0.2119,-0.2348,0.6585,
B_juicio,regla fd3a94,1,0.0000,,,,kappa no informada: n < 10 pares
B_juicio,regla qt1vmo,168,0.7619,0.3896,0.2245,0.5548,
B_juicio,criterio 1.1.1,168,0.7619,0.3896,0.2245,0.5548,
B_juicio,criterio 2.4.4,62,0.8226,0.1783,-0.2621,0.6187,
B_juicio,TOTAL,230,0.7783,0.3634,0.2093,0.5175,
C_veredictos,45 celdas,45,0.9556,0.7761,0.4728,1.0000,excluye 0 celdas con REVISAR sin resolver
