id,grupo,n_grupo,universidad,sigla,sitio,pais,region,tipo,ciudad,cookies_antes_consentir,nombres_cookies,n_nombres_listados,nombres_truncados,rastreo,procedencia_rastreo,cmp_verificacion,banner_verificacion,fuente_verificacion,banner_estudio,polcookies_estudio,nota_documental,revisar
1,ecuador,1,Escuela Politécnica Nacional,EPN,https://www.epn.edu.ec,Ecuador,Ecuador,Pública,Quito,2,_ga_6MFE5HRHXE | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,yes,"Lineamiento de uso de cookies (PDF, 2025) que cita LOPDP y derechos ARCO; remite a Política de Protección de Datos separada. Sin DPO ni accesibilidad.",
2,ecuador,2,Escuela Superior Politécnica del Litoral,ESPOL,https://www.espol.edu.ec,Ecuador,Ecuador,Pública,Guayaquil,4,TS014590ac | _ga_2QNGYSJLK4 | _ga | _gid,4,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,yes,verificacion en vivo,no_detectable,yes,"Página de protección de datos completa (LOPDP, derechos Cap. III, delegado con correo dedicado). Política de cookies en /es/politica-de-privacidad.",
3,ecuador,3,Escuela Superior Politécnica de Chimborazo,ESPOCH,https://www.espoch.edu.ec,Ecuador,Ecuador,Pública,Riobamba,1,cookieyes-consent,1,no,no,csv_ecuador | taxonomia base confirma,CookieYes,yes,verificacion en vivo,no_detectable,no,El sitio institucional no publica política de privacidad. Solo avisos de cookies en subdominios de apps móviles.,
4,ecuador,4,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,ESPAM MFL,https://www.espam.edu.ec,Ecuador,Ecuador,Pública,Calceta,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Certificado SSL inválido (CERTIFICATE_VERIFY_FAILED). Publica LOTAIP pero ninguna política de privacidad/cookies/accesibilidad.,
5,ecuador,5,Universidad de las Fuerzas Armadas ESPE,ESPE,https://www.espe.edu.ec,Ecuador,Ecuador,Pública,Sangolquí,7,_ga_DNYB2YPXC9 | _ga | __utma | __utmc | __utmz | __utmt | __utmb,7,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"Protección de datos con LOPDP, delegado con correo, formulario de derechos, accesibilidad para grupos prioritarios y barra de accesibilidad.",
6,ecuador,6,Universidad Central del Ecuador,UCE,https://www.uce.edu.ec,Ecuador,Ecuador,Pública,Quito,5,__utma | __utmc | __utmz | __utmt | __utmb,5,no,yes,taxonomia auditar.js,Ninguna,no,verificacion en vivo,no_detectable,no,No se hallaron enlaces de privacidad/cookies en el pie. Portal de Transparencia (LOTAIP) confirmado. No confirmable por este método.,medicion restaurada desde el HTML; confirmar contra el JSON crudo; el informe HTML clasifica este sitio como rastreo=yes; rastreo corregido de no a yes aplicando la taxonomia del codigo
7,ecuador,7,Universidad de Cuenca,UCuenca,https://www.ucuenca.edu.ec,Ecuador,Ecuador,Pública,Cuenca,12,_ga | _ga_23BSZ91CCT | wp-wpml_current_language | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page,10,yes,yes,csv_ecuador | taxonomia base confirma,Cookiebot | CookieYes,yes,verificacion en vivo,yes,yes,Banner de cookies confirmado (Aceptar/Rechazar) y política de cookies en PDF. Política de protección de datos (Res. 2024) con formato de ejercicio de derechos; sin DPO dedicado.,
8,ecuador,8,Universidad de Guayaquil,UG,https://www.ug.edu.ec,Ecuador,Ecuador,Pública,Guayaquil,2,pvc_visits[0] | srs_unique_visitor,2,no,no,csv_ecuador | taxonomia base confirma,CookieYes,yes,verificacion en vivo,no_detectable,no,"Página dedicada cita LOPDP, lista derechos y designa DPO. Política general en PDF (2025). Página /politica-privacidad antigua es genérica.",el informe HTML clasifica este sitio como rastreo=yes
9,ecuador,9,Universidad Nacional de Loja,UNL,https://www.unl.edu.ec,Ecuador,Ecuador,Pública,Loja,2,_ga_HCDKPL9C20 | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,TrustArc | CookieYes,no,verificacion en vivo,no_detectable,no,Solo Transparencia y Rendición de Cuentas en el pie. Sin política institucional de privacidad/datos/cookies.,
10,ecuador,10,Universidad Agraria del Ecuador,UAE,https://www.uagraria.edu.ec,Ecuador,Ecuador,Pública,Guayaquil,4,_ga | _gid | _gat | _ga_5PM2XSRM63,4,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Pie con Transparencia y Buzón; sin política de privacidad/protección de datos/cookies.,
11,ecuador,11,Universidad Técnica de Ambato,UTA,https://uta.edu.ec,Ecuador,Ecuador,Pública,Ambato,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Certificado TLS con cadena incompleta impidió leer home y PDF. Existe documento de protección de datos (2025) pero su contenido no fue verificable.,
12,ecuador,12,Universidad Técnica de Babahoyo,UTB,https://utb.edu.ec,Ecuador,Ecuador,Pública,Babahoyo,4,_gid | _gat_gtag_UA_68893477_2 | _ga_WNXLYS2MLG | _ga,4,no,yes,csv_ecuador | taxonomia base confirma,TrustArc,no,verificacion en vivo,no_detectable,no,"Política cita LOPDP, lista derechos y designa DPO. La home vía www presenta certificado autofirmado en la cadena.",
13,ecuador,13,Universidad Técnica de Cotopaxi,UTC,https://www.utc.edu.ec,Ecuador,Ecuador,Pública,Latacunga,0,,0,no,no,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,yes,Política tipo plantilla genérica: describe cookies pero NO cita LOPDP ni derechos ARCO; único contacto es un Gmail personal.,
14,ecuador,14,Universidad Técnica de Machala,UTMACH,https://www.utmachala.edu.ec,Ecuador,Ecuador,Pública,Machala,0,,0,no,no,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Política de Tratamiento de Datos Personales (PDF, oct-2024): cita LOPDP, detalla derechos, designa DPD y fija plazo de 15 días. Sin cookies ni accesibilidad.",
15,ecuador,15,Universidad Técnica de Manabí,UTM,https://www.utm.edu.ec,Ecuador,Ecuador,Pública,Portoviejo,1,sppb_user_timezone,1,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Sin política de privacidad/aviso de tratamiento en el sitio oficial. Ley de Transparencia activa.,
16,ecuador,16,Universidad Técnica del Norte,UTN,https://www.utn.edu.ec,Ecuador,Ecuador,Pública,Ibarra,2,_ga_SBC1J4DHX0 | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Política cita LOPDP, Decreto 904 y Acuerdo 012-2019 y enumera derechos, pero enmarcada en la app móvil, no en un aviso general del portal.",
17,ecuador,17,Universidad Técnica Estatal de Quevedo,UTEQ,https://www.uteq.edu.ec,Ecuador,Ecuador,Pública,Quevedo,3,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,3,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Aviso de cumplimiento LOPDP aplicado al Sistema de Gestión Académica; no publica documento de política ni derechos/DPO. Aviso adicional en subdominio de facultad.,
18,ecuador,18,Universidad Técnica Luis Vargas Torres de Esmeraldas,UTELVT,https://www.utelvt.edu.ec,Ecuador,Ecuador,Pública,Esmeraldas,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Sin banner de cookies ni enlaces de privacidad. Transparencia por años activa.,
19,ecuador,19,Universidad Estatal de Bolívar,UEB,https://www.ueb.edu.ec,Ecuador,Ecuador,Pública,Guaranda,1,XSRF-TOKEN,1,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"Existe página 'Política de privacidad' (id=227) no legible por JS. Barra de accesibilidad (monocromático, modo lectura, ajuste de fuente). No confundir con ube.edu.ec.",
20,ecuador,20,Universidad Estatal del Sur de Manabí,UNESUM,https://unesum.edu.ec,Ecuador,Ecuador,Pública,Jipijapa,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Solo 'Acuerdo de Uso de Datos Personales' en el subsistema de admisión (certificado SSL falló). El portal principal no expone política.,
21,ecuador,21,Universidad Estatal de Milagro,UNEMI,https://www.unemi.edu.ec,Ecuador,Ecuador,Pública,Milagro,7,_ga | _ga_MQGK6RGL8F | _clck | _fbp | _hjSessionUser_3074996 | _hjSession_3074996 | _clsk,7,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,yes,"Política cita LOPDP, enumera derechos ARCO y una sección de cookies; sin DPO nominado. Uno de los casos públicos más completos.",
22,ecuador,22,Universidad Estatal Amazónica,UEA,https://www.uea.edu.ec,Ecuador,Ecuador,Pública,Puyo,2,_ga_450T1JQNMR | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Política en subdominio app.uea.edu.ec: referencia genérica a la ley de 2021 sin nombrar la LOPDP; derechos parciales (sin oposición ni portabilidad); sin DPO.,
23,ecuador,23,Universidad Estatal Península de Santa Elena,UPSE,https://www.upse.edu.ec,Ecuador,Ecuador,Pública,La Libertad,1,sppb_user_timezone,1,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"El único documento LOPDP corresponde al Instituto de Postgrado, no al portal institucional. Enumera derechos exhaustivos y DPO de postgrado. Plan de Igualdad 2024-2026.",
24,ecuador,24,Universidad Laica Eloy Alfaro de Manabí,ULEAM,https://www.uleam.edu.ec,Ecuador,Ecuador,Pública,Manta,4,_gid | _gat_gtag_UA_81009815_1 | _ga_12F9F68E6S | _ga,4,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Solo 'Términos y Condiciones' en el portal de admisión; sin política de privacidad/tratamiento institucional. Copyright 2020.,
25,ecuador,25,Universidad Nacional de Chimborazo,UNACH,https://www.unach.edu.ec,Ecuador,Ecuador,Pública,Riobamba,5,_gid | _gat_gtag_UA_133447811_1 | _ga_YQBSJ5PHNG | _ga | srs_unique_visitor,5,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Marco de protección de datos más completo del sector público: cita LOPDP con articulado (7.1-7.8), derechos completos, DPO con correos dedicados, controles de accesibilidad y polít",
26,ecuador,26,Universidad Nacional de Educación,UNAE,https://unae.edu.ec,Ecuador,Ecuador,Pública,Azogues,6,_ga_5FWX93M6TG | pll_language | _gid | _gat_gtag_UA_154339291_1 | _ga_R13W2764LB | _ga,6,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Sin política de privacidad/aviso de tratamiento institucional. Transparencia con matrices LOTAIP.,
27,ecuador,27,Universidad Politécnica Estatal del Carchi,UPEC,https://upec.edu.ec,Ecuador,Ecuador,Pública,Tulcán,7,sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session,7,no,yes,"csv_ecuador | taxonomia extendida: Sourcebuster (sbjs_*), atribucion de trafico",CookieYes,no,verificacion en vivo,no_detectable,no,"Único vínculo de protección de datos es un comunicado en imagen (JPG), sin política estructurada ni derechos ARCO. Subdominio de transparencia con fallo TLS.",
28,ecuador,28,Universidad de Investigación de Tecnología Experimental Yachay,Yachay Tech,https://yachaytech.edu.ec,Ecuador,Ecuador,Pública,Urcuquí,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Fallos recurrentes de verificación de certificado TLS. Sin política de privacidad/cookies detectable. Transparencia presente.,
29,ecuador,29,Universidad Regional Amazónica Ikiam,Ikiam,https://www.ikiam.edu.ec,Ecuador,Ecuador,Pública,Tena,2,_ga_HFS94B3LXM | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Página de protección de datos con correo dedicado y formulario ARCO; sin política de cookies ni enumeración detallada de derechos.,
30,ecuador,30,Universidad de las Artes,UArtes,https://www.uartes.edu.ec,Ecuador,Ecuador,Pública,Guayaquil,2,_ga_8044E6TKJB | _ga,2,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"Política institucional (Res. UA-OCS-RSE-2025-038): cita LOPDP, DPO con correo dedicado, ARCO+ y cinco documentos descargables.",
31,ecuador,31,Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi,Amawtay Wasi,https://uaw.edu.ec,Ecuador,Ecuador,Pública,Quito,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Dominio oficial uaw.edu.ec. Pie solo con contacto y redes. Transparencia/LOTAIP presente; sin referencia a LOPDP/datos/accesibilidad.,
32,ecuador,32,Universidad de Seguridad Ciudadana y Ciencias Policiales,USECIPOL,https://usecipol.edu.ec,Ecuador,Ecuador,Pública,Quito,0,,0,no,no,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Universidad de reciente creación (2025). Página de protección de datos funciona como portal de solicitudes (formulario de Google); sin política sustantiva ni marco legal citado.,
33,ecuador,33,Instituto de Altos Estudios Nacionales,IAEN,https://www.iaen.edu.ec,Ecuador,Ecuador,Pública,Quito,0,,0,no,no,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,yes,yes,Banner de cookies (GDPR Cookie Compliance) citando la LOPDP. Política de privacidad con derechos del titular; enlace de accesibilidad; falta DPO con correo dedicado.,
34,ecuador,34,"Universidad Andina Simón Bolívar, sede Ecuador",UASB,https://www.uasb.edu.ec,Ecuador,Ecuador,Pública,Quito,22,_gcl_au | _ga_8G7C03T250 | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp,10,yes,yes,csv_ecuador | taxonomia base confirma,Cookiebot | TCF | CookieYes,yes,verificacion en vivo,no_detectable,yes,"Política muy completa: DPO con correo dedicado, catálogo amplio de derechos (Art. 7 LOPDP), cookies analíticas/publicitarias y documento de cookies separado.",
35,ecuador,35,FLACSO Ecuador,FLACSO,https://www.flacso.edu.ec,Ecuador,Ecuador,Pública,Quito,4,_ga_KVZM8KVKWH | _ga | _gid | _gat,4,no,yes,csv_ecuador | taxonomia base confirma,TrustArc | CookieYes,no,verificacion en vivo,no_detectable,no,Sin política de privacidad/cookies/protección de datos. Existe Código de Ética y Transparencia.,
36,ecuador,36,Pontificia Universidad Católica del Ecuador,PUCE,https://www.puce.edu.ec,Ecuador,Ecuador,Cofinanciada,Quito,13,_ga | _ga_H8JQ0KWN0K | _gcl_au | _ga_1TG94HC9HF | _fbp | _tt_enable_cookie | _ttp | _clck | _clsk | _hjSessionUser_4991704,10,yes,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Política General de Protección de Datos (2024): cita LOPDP y derechos ARCO (Art. 15). Correo de protección de datos; sin figura formal de DPO.,
37,ecuador,37,Universidad Católica de Santiago de Guayaquil,UCSG,https://www.ucsg.edu.ec,Ecuador,Ecuador,Cofinanciada,Guayaquil,15,PHPSESSID | pmpro_visit | sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session | _ga_Z1DV026L7M,10,yes,yes,csv_ecuador | taxonomia base confirma,CookieYes | Complianz,yes,verificacion en vivo,yes,yes,Banner de cookies con categorías (Funcional/Preferencias/Analíticas/Marketing). Política cita LOPDP y derechos completos. Programa de formación para delegados.,
38,ecuador,38,Universidad Católica de Cuenca,UCACUE,https://www.ucacue.edu.ec,Ecuador,Ecuador,Cofinanciada,Cuenca,17,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | _ga_MSV6X9XSF1 | _ga,10,yes,yes,csv_ecuador | taxonomia base confirma,Cookiebot | CookieYes,yes,verificacion en vivo,no_detectable,no,"Política completa: LOPDP, derechos, DPO nominado con contacto. Herramienta de accesibilidad en el sitio.",
