id,grupo,sigla,universidad,sitio,fecha,cookies_antes_consentir,nombres_cookies,n_nombres_listados,rastreo,rastreo_base,proveedores_rastreo,procedencia_rastreo,banner_estudio,cmp_estudio,pais,region,ciudad,tipo,cmp_verificacion,banner_verificacion,fuente_verificacion,polcookies_estudio,nota_documental
1,Ecuador,EPN,Escuela Politécnica Nacional,https://www.epn.edu.ec,2026-08-14T06:38:17.158Z,3,path | ep_session_id | cf_clearance,3,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Quito,Pública,CookieYes,no,verificacion en vivo,yes,"Lineamiento de uso de cookies (PDF, 2025) que cita LOPDP y derechos ARCO; remite a Política de Protección de Datos separada. Sin DPO ni accesibilidad."
2,Ecuador,ESPOL,Escuela Superior Politécnica del Litoral,https://www.espol.edu.ec,2026-08-14T06:38:26.458Z,5,TS014590ac | _ga_2QNGYSJLK4 | _ga | _gid | _gat_gtag_UA_5343888_2,5,yes,yes,Google Analytics,taxonomia base: Google Analytics,yes,CookieYes,Ecuador,Ecuador,Guayaquil,Pública,CookieYes,yes,verificacion en vivo,yes,"Página de protección de datos completa (LOPDP, derechos Cap. III, delegado con correo dedicado). Política de cookies en /es/politica-de-privacidad."
3,Ecuador,ESPOCH,Escuela Superior Politécnica de Chimborazo,https://www.espoch.edu.ec,2026-08-14T06:38:35.630Z,2,cookiesession1 | cookieyes-consent,2,no,no,,sin coincidencia con ninguna taxonomia,yes,CookieYes,Ecuador,Ecuador,Riobamba,Pública,CookieYes,yes,verificacion en vivo,no,El sitio institucional no publica política de privacidad. Solo avisos de cookies en subdominios de apps móviles.
4,Ecuador,ESPAM MFL,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,https://www.espam.edu.ec,2026-08-14T06:38:43.667Z,0,,0,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Calceta,Pública,CookieYes,no,verificacion en vivo,no,Certificado SSL inválido (CERTIFICATE_VERIFY_FAILED). Publica LOTAIP pero ninguna política de privacidad/cookies/accesibilidad.
5,Ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,https://www.espe.edu.ec,2026-08-14T06:38:53.697Z,81,route | ospSession | __utma | __utmc | __utmz | __utmt | __utmb | _ga_DNYB2YPXC9 | _ga,9,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Sangolquí,Pública,CookieYes,no,verificacion en vivo,no,"Protección de datos con LOPDP, delegado con correo, formulario de derechos, accesibilidad para grupos prioritarios y barra de accesibilidad."
6,Ecuador,UCE,Universidad Central del Ecuador,https://www.uce.edu.ec,2026-08-14T06:39:02.200Z,8,JSESSIONID | COOKIE_SUPPORT | GUEST_LANGUAGE_ID | __utma | __utmc | __utmz | __utmt | __utmb,8,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Quito,Pública,Ninguna,no,verificacion en vivo,no,No se hallaron enlaces de privacidad/cookies en el pie. Portal de Transparencia (LOTAIP) confirmado. No confirmable por este método.
7,Ecuador,UCuenca,Universidad de Cuenca,https://www.ucuenca.edu.ec,2026-08-14T06:39:10.985Z,12,_ga | _ga_23BSZ91CCT | wp-wpml_current_language | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | pbid,12,yes,yes,Google Analytics | PixelYourSite | Meta,"taxonomia base: Google Analytics, PixelYourSite, Meta",yes,,Ecuador,Ecuador,Cuenca,Pública,Cookiebot | CookieYes,yes,verificacion en vivo,yes,Banner de cookies confirmado (Aceptar/Rechazar) y política de cookies en PDF. Política de protección de datos (Res. 2024) con formato de ejercicio de derechos; sin DPO dedicado.
8,Ecuador,UG,Universidad de Guayaquil,https://www.ug.edu.ec,2026-08-14T06:39:18.968Z,2,pvc_visits[0] | srs_unique_visitor,2,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Guayaquil,Pública,CookieYes,yes,verificacion en vivo,no,"Página dedicada cita LOPDP, lista derechos y designa DPO. Política general en PDF (2025). Página /politica-privacidad antigua es genérica."
9,Ecuador,UNL,Universidad Nacional de Loja,https://www.unl.edu.ec,2026-08-14T06:39:26.894Z,2,_ga_HCDKPL9C20 | _ga,2,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,CookieYes,Ecuador,Ecuador,Loja,Pública,TrustArc | CookieYes,no,verificacion en vivo,no,Solo Transparencia y Rendición de Cuentas en el pie. Sin política institucional de privacidad/datos/cookies.
10,Ecuador,UAE,Universidad Agraria del Ecuador,https://www.uagraria.edu.ec,2026-08-14T06:39:34.357Z,4,_ga | _gid | _gat | _ga_5PM2XSRM63,4,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Guayaquil,Pública,Ninguna,no,verificacion en vivo,no,Pie con Transparencia y Buzón; sin política de privacidad/protección de datos/cookies.
11,Ecuador,UTA,Universidad Técnica de Ambato,https://uta.edu.ec,2026-08-14T06:39:43.161Z,0,,0,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Ambato,Pública,CookieYes,no,verificacion en vivo,no,Certificado TLS con cadena incompleta impidió leer home y PDF. Existe documento de protección de datos (2025) pero su contenido no fue verificable.
12,Ecuador,UTB,Universidad Técnica de Babahoyo,https://utb.edu.ec,2026-08-14T06:39:49.562Z,9,_gid | _gat_gtag_UA_68893477_2 | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN | _ga_WNXLYS2MLG | _ga,9,yes,yes,Google Analytics | YouTube,"taxonomia base: Google Analytics, YouTube",no_detectable,,Ecuador,Ecuador,Babahoyo,Pública,TrustArc,no,verificacion en vivo,no,"Política cita LOPDP, lista derechos y designa DPO. La home vía www presenta certificado autofirmado en la cadena."
13,Ecuador,UTC,Universidad Técnica de Cotopaxi,https://www.utc.edu.ec,2026-08-14T06:39:56.657Z,10,dnn_IsMobile | language | .ASPXANONYMOUS | __RequestVerificationToken | __cf_bm | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN,10,yes,yes,YouTube,taxonomia base: YouTube,no_detectable,,Ecuador,Ecuador,Latacunga,Pública,Ninguna,no,verificacion en vivo,yes,Política tipo plantilla genérica: describe cookies pero NO cita LOPDP ni derechos ARCO; único contacto es un Gmail personal.
14,Ecuador,UTMACH,Universidad Técnica de Machala,https://www.utmachala.edu.ec,2026-08-14T06:40:01.775Z,0,,0,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Machala,Pública,Ninguna,no,verificacion en vivo,no,"Política de Tratamiento de Datos Personales (PDF, oct-2024): cita LOPDP, detalla derechos, designa DPD y fija plazo de 15 días. Sin cookies ni accesibilidad."
15,Ecuador,UTM,Universidad Técnica de Manabí,https://www.utm.edu.ec,2026-08-14T06:40:10.509Z,2,489c4e03dd158b76f3e726728ac0dc12 | sppb_user_timezone,2,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Portoviejo,Pública,CookieYes,no,verificacion en vivo,no,Sin política de privacidad/aviso de tratamiento en el sitio oficial. Ley de Transparencia activa.
16,Ecuador,UTN,Universidad Técnica del Norte,https://www.utn.edu.ec,2026-08-14T06:40:17.863Z,3,_GRECAPTCHA | _ga_SBC1J4DHX0 | _ga,3,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Ibarra,Pública,Ninguna,no,verificacion en vivo,no,"Política cita LOPDP, Decreto 904 y Acuerdo 012-2019 y enumera derechos, pero enmarcada en la app móvil, no en un aviso general del portal."
17,Ecuador,UTEQ,Universidad Técnica Estatal de Quevedo,https://www.uteq.edu.ec,2026-08-14T06:40:24.861Z,3,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,3,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Quevedo,Pública,CookieYes,no,verificacion en vivo,no,Aviso de cumplimiento LOPDP aplicado al Sistema de Gestión Académica; no publica documento de política ni derechos/DPO. Aviso adicional en subdominio de facultad.
18,Ecuador,UTELVT,Universidad Técnica Luis Vargas Torres de Esmeraldas,https://www.utelvt.edu.ec,2026-08-14T06:40:35.349Z,0,,0,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Esmeraldas,Pública,CookieYes,no,verificacion en vivo,no,Sin banner de cookies ni enlaces de privacidad. Transparencia por años activa.
19,Ecuador,UEB,Universidad Estatal de Bolívar,https://www.ueb.edu.ec,2026-08-14T06:40:44.732Z,2,XSRF-TOKEN | ueb_session,2,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,CookieYes,Ecuador,Ecuador,Guaranda,Pública,CookieYes,no,verificacion en vivo,no,"Existe página 'Política de privacidad' (id=227) no legible por JS. Barra de accesibilidad (monocromático, modo lectura, ajuste de fuente). No confundir con ube.edu.ec."
20,Ecuador,UNESUM,Universidad Estatal del Sur de Manabí,https://unesum.edu.ec,2026-08-14T06:40:52.207Z,1,__cf_bm,1,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Jipijapa,Pública,CookieYes,no,verificacion en vivo,no,Solo 'Acuerdo de Uso de Datos Personales' en el subsistema de admisión (certificado SSL falló). El portal principal no expone política.
21,Ecuador,UNEMI,Universidad Estatal de Milagro,https://www.unemi.edu.ec,2026-08-14T06:41:00.997Z,2,_ga | _ga_MQGK6RGL8F,2,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Milagro,Pública,CookieYes,no,verificacion en vivo,yes,"Política cita LOPDP, enumera derechos ARCO y una sección de cookies; sin DPO nominado. Uno de los casos públicos más completos."
22,Ecuador,UEA,Universidad Estatal Amazónica,https://www.uea.edu.ec,2026-08-14T06:41:12.184Z,2,_ga_450T1JQNMR | _ga,2,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Puyo,Pública,CookieYes,no,verificacion en vivo,no,Política en subdominio app.uea.edu.ec: referencia genérica a la ley de 2021 sin nombrar la LOPDP; derechos parciales (sin oposición ni portabilidad); sin DPO.
23,Ecuador,UPSE,Universidad Estatal Península de Santa Elena,https://www.upse.edu.ec,2026-08-14T06:41:21.613Z,2,14e299400af5767870c264ab1b109c33 | sppb_user_timezone,2,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,La Libertad,Pública,CookieYes,no,verificacion en vivo,no,"El único documento LOPDP corresponde al Instituto de Postgrado, no al portal institucional. Enumera derechos exhaustivos y DPO de postgrado. Plan de Igualdad 2024-2026."
24,Ecuador,ULEAM,Universidad Laica Eloy Alfaro de Manabí,https://www.uleam.edu.ec,2026-08-14T06:41:36.640Z,4,_gid | _gat_gtag_UA_81009815_1 | _ga_12F9F68E6S | _ga,4,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Manta,Pública,Ninguna,no,verificacion en vivo,no,Solo 'Términos y Condiciones' en el portal de admisión; sin política de privacidad/tratamiento institucional. Copyright 2020.
25,Ecuador,UNACH,Universidad Nacional de Chimborazo,https://www.unach.edu.ec,2026-08-14T06:41:46.165Z,5,_gid | _gat_gtag_UA_133447811_1 | _ga_YQBSJ5PHNG | _ga | srs_unique_visitor,5,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Riobamba,Pública,Ninguna,no,verificacion en vivo,no,"Marco de protección de datos más completo del sector público: cita LOPDP con articulado (7.1-7.8), derechos completos, DPO con correos dedicados, controles de accesibilidad y polít"
26,Ecuador,UNAE,Universidad Nacional de Educación,https://unae.edu.ec,2026-08-14T06:41:56.053Z,12,_GRECAPTCHA | _ga_5FWX93M6TG | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | pll_language | _gid | _gat_gtag_UA_154339291_1 | __Secure-YNID | __Secure-ROLLOUT_TOKEN | _ga_R13W2764LB | _ga,12,yes,yes,Google Analytics | YouTube,"taxonomia base: Google Analytics, YouTube",no_detectable,,Ecuador,Ecuador,Azogues,Pública,CookieYes,no,verificacion en vivo,no,Sin política de privacidad/aviso de tratamiento institucional. Transparencia con matrices LOTAIP.
27,Ecuador,UPEC,Universidad Politécnica Estatal del Carchi,https://upec.edu.ec,2026-08-14T06:42:08.590Z,11,PHPSESSID | sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session | __cf_bm | player | vuid,11,yes,no,Sourcebuster,taxonomia extendida: Sourcebuster,no_detectable,,Ecuador,Ecuador,Tulcán,Pública,CookieYes,no,verificacion en vivo,no,"Único vínculo de protección de datos es un comunicado en imagen (JPG), sin política estructurada ni derechos ARCO. Subdominio de transparencia con fallo TLS."
28,Ecuador,Yachay Tech,Universidad de Investigación de Tecnología Experimental Yachay,https://yachaytech.edu.ec,2026-08-14T06:42:19.188Z,1,lp_session_guest,1,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Urcuquí,Pública,CookieYes,no,verificacion en vivo,no,Fallos recurrentes de verificación de certificado TLS. Sin política de privacidad/cookies detectable. Transparencia presente.
29,Ecuador,Ikiam,Universidad Regional Amazónica Ikiam,https://www.ikiam.edu.ec,2026-08-14T06:42:26.985Z,2,_ga_HFS94B3LXM | _ga,2,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,,Ecuador,Ecuador,Tena,Pública,CookieYes,no,verificacion en vivo,no,Página de protección de datos con correo dedicado y formulario ARCO; sin política de cookies ni enumeración detallada de derechos.
30,Ecuador,UArtes,Universidad de las Artes,https://www.uartes.edu.ec,2026-08-14T06:42:35.525Z,2,_ga_8044E6TKJB | _ga,2,yes,yes,Google Analytics,taxonomia base: Google Analytics,no_detectable,CookieYes,Ecuador,Ecuador,Guayaquil,Pública,CookieYes,no,verificacion en vivo,no,"Política institucional (Res. UA-OCS-RSE-2025-038): cita LOPDP, DPO con correo dedicado, ARCO+ y cinco documentos descargables."
31,Ecuador,Amawtay Wasi,Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi,https://uaw.edu.ec,2026-08-14T06:42:42.898Z,2,__cf_ob | cf_clearance,2,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Quito,Pública,CookieYes,no,verificacion en vivo,no,Dominio oficial uaw.edu.ec. Pie solo con contacto y redes. Transparencia/LOTAIP presente; sin referencia a LOPDP/datos/accesibilidad.
32,Ecuador,USECIPOL,Universidad de Seguridad Ciudadana y Ciencias Policiales,https://usecipol.edu.ec,2026-08-14T06:42:49.833Z,0,,0,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,,Ecuador,Ecuador,Quito,Pública,Ninguna,no,verificacion en vivo,no,Universidad de reciente creación (2025). Página de protección de datos funciona como portal de solicitudes (formulario de Google); sin política sustantiva ni marco legal citado.
33,Ecuador,IAEN,Instituto de Altos Estudios Nacionales,https://www.iaen.edu.ec,2026-08-14T06:42:58.817Z,6,lp_session_guest | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-YNID | __Secure-ROLLOUT_TOKEN,6,yes,yes,YouTube,taxonomia base: YouTube,no_detectable,,Ecuador,Ecuador,Quito,Pública,Ninguna,no,verificacion en vivo,yes,Banner de cookies (GDPR Cookie Compliance) citando la LOPDP. Política de privacidad con derechos del titular; enlace de accesibilidad; falta DPO con correo dedicado.
34,Ecuador,UASB,"Universidad Andina Simón Bolívar, sede Ecuador",https://www.uasb.edu.ec,2026-08-14T06:43:06.971Z,80,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | _gcl_au | _ga_8G7C03T250 | _ttp | _gid | _gat_gtag_UA_64150728_1 | pbid | _ga_T68NNTWDMD | _ga | _twpid | guest_id_marketing | guest_id_ads | personalization_id | guest_id | __cf_bm | _tt_enable_cookie | _ttp | muc_ads | __cf_bm | ttcsid | ttcsid_CHMIO1JC77UCDSLJ1P00 | lidc | li_sugr | bcookie | __cf_bm | receive-cookie-deprecation | receive-cookie-deprecation | __adroll_fpc | UserMatchHistory | AnalyticsSyncHistory | __ar_v4 | bscookie | CMID | CMPS | CMPRO | c | tuuid_lu | tuuid | TapAd_TS | TapAd_DID | IDE | mako_uid | SERVERID | i | tluid | pi | audit_p | khaos | khaos_p | audit | receive-cookie-deprecation | rlas3 | __adroll | __adroll_shared | pid | TestIfCookieP | csync | KRTBCOOKIE_10 | PugT | pxrc | OTP | XANDR_PANID | uuid2 | t_gid | t_pt_gid | did | didts | nnls | pxrc | TDID | anj | TDCPM | TapAd_3WAY_SYNCS,80,yes,yes,PixelYourSite | Meta | Google Ads | Google Analytics | TikTok | X/Twitter | DoubleClick,"taxonomia base: PixelYourSite, Meta, Google Ads, Google Analytics, TikTok, X/Twitter, DoubleClick",yes,IAB-TCF,Ecuador,Ecuador,Quito,Pública,Cookiebot | TCF | CookieYes,yes,verificacion en vivo,yes,"Política muy completa: DPO con correo dedicado, catálogo amplio de derechos (Art. 7 LOPDP), cookies analíticas/publicitarias y documento de cookies separado."
35,Ecuador,FLACSO,FLACSO Ecuador,https://www.flacso.edu.ec,2026-08-14T06:43:14.710Z,1,cf_clearance,1,no,no,,sin coincidencia con ninguna taxonomia,no_detectable,CookieYes,Ecuador,Ecuador,Quito,Pública,TrustArc | CookieYes,no,verificacion en vivo,no,Sin política de privacidad/cookies/protección de datos. Existe Código de Ética y Transparencia.
36,Ecuador,PUCE,Pontificia Universidad Católica del Ecuador,https://www.puce.edu.ec,2026-08-14T06:43:25.361Z,30,_ttp | li_sugr | lidc | bcookie | __cf_bm | CLID | UserMatchHistory | AnalyticsSyncHistory | _tt_enable_cookie | _ttp | bscookie | _ga | _ga_H8JQ0KWN0K | ttcsid | ttcsid_D0MGCJBC77U2LS75RK60 | _fbp | _gcl_au | _ga_1TG94HC9HF | _clck | test_cookie | _clsk | _hjSessionUser_4991704 | _hjSession_4991704 | MUID | MR | SRM_B | SM | MUID | MR | ANONCHK,30,yes,yes,TikTok | Google Analytics | Meta | Google Ads | Microsoft Clarity | DoubleClick | Hotjar | Microsoft,"taxonomia base: TikTok, Google Analytics, Meta, Google Ads, Microsoft Clarity, DoubleClick, Hotjar, Microsoft",no_detectable,,Ecuador,Ecuador,Quito,Cofinanciada,Ninguna,no,verificacion en vivo,no,Política General de Protección de Datos (2024): cita LOPDP y derechos ARCO (Art. 15). Correo de protección de datos; sin figura formal de DPO.
37,Ecuador,UCSG,Universidad Católica de Santiago de Guayaquil,https://www.ucsg.edu.ec,2026-08-14T06:43:36.417Z,14,_GRECAPTCHA | lp_session_guest | PHPSESSID | pmpro_visit | sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session | _ga_Z1DV026L7M | _ga | _fbp,14,yes,yes,Google Analytics | Meta | Sourcebuster,"taxonomia base y extendida: Google Analytics, Meta, Sourcebuster",yes,Complianz,Ecuador,Ecuador,Guayaquil,Cofinanciada,CookieYes | Complianz,yes,verificacion en vivo,yes,Banner de cookies con categorías (Funcional/Preferencias/Analíticas/Marketing). Política cita LOPDP y derechos completos. Programa de formación para delegados.
38,Ecuador,UCACUE,Universidad Católica de Cuenca,https://www.ucacue.edu.ec,2026-08-14T06:43:46.012Z,24,_GRECAPTCHA | _ttp | __cf_bm | CLID | _ga_MSV6X9XSF1 | _ga | _tt_enable_cookie | _ttp | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | ttcsid | ttcsid_CG9OMIBC77U573C8UFI0 | _clck | _clsk | __cf_bm | pbid | SM | MUID,24,yes,yes,TikTok | Google Analytics | PixelYourSite | Meta | Microsoft Clarity | Microsoft,"taxonomia base: TikTok, Google Analytics, PixelYourSite, Meta, Microsoft Clarity, Microsoft",yes,,Ecuador,Ecuador,Cuenca,Cofinanciada,Cookiebot | CookieYes,yes,verificacion en vivo,no,"Política completa: LOPDP, derechos, DPO nominado con contacto. Herramienta de accesibilidad en el sitio."
