id,sigla,grupo,nombres_no_presentes_en_crudo
10,U Chicago,Mundo,_hjSessionUser | _hjSession
17,Peking,Mundo,Hm_lvt | Hm_lpvt | HMACCOUNT
22,NUS,Mundo,incap_ses_79
42,Sydney,Mundo,AMCVS_AdobeOrg | AMCV_AdobeOrg | _hjSessionUser | _hjSession
49,McGill,Mundo,cookie-agreed-version
53,USTC,Mundo,Hm_lvt | Hm_lpvt
64,EPN,Ecuador,_ga_6MFE5HRHXE | _ga
84,UNEMI,Ecuador,_clck | _fbp | _hjSessionUser_3074996 | _hjSession_3074996 | _clsk
98,FLACSO,Ecuador,_ga_KVZM8KVKWH | _ga | _gid | _gat
104,UTE,Ecuador,burst_uid | _ga_GP7MSYBCD5 | _ga
107,UISEK,Ecuador,pvc_visits[0]
119,UMET,Ecuador,random1 | random2 | random3 | random4
121,USGP,Ecuador,ttcsid_x
124,ECOTEC,Ecuador,pll_language | ft_utm_source | ft_utm_medium | ft_landing | ft_referrer | ft_timestamp
