id,sigla,grupo,nombres_no_presentes_en_crudo
1,EPN,Ecuador,_ga_6MFE5HRHXE | _ga
21,UNEMI,Ecuador,_clck | _fbp | _hjSessionUser_3074996 | _hjSession_3074996 | _clsk
35,FLACSO,Ecuador,_ga_KVZM8KVKWH | _ga | _gid | _gat
41,UTE,Ecuador,burst_uid | _ga_GP7MSYBCD5 | _ga
44,UISEK,Ecuador,pvc_visits[0]
56,UMET,Ecuador,random1 | random2 | random3 | random4
58,USGP,Ecuador,ttcsid_x
61,ECOTEC,Ecuador,pll_language | ft_utm_source | ft_utm_medium | ft_landing | ft_referrer | ft_timestamp
73,U Chicago,Mundo,_hjSessionUser | _hjSession
80,Peking,Mundo,Hm_lvt | Hm_lpvt | HMACCOUNT
85,NUS,Mundo,incap_ses_79
105,Sydney,Mundo,AMCVS_AdobeOrg | AMCV_AdobeOrg | _hjSessionUser | _hjSession
112,McGill,Mundo,cookie-agreed-version
116,USTC,Mundo,Hm_lvt | Hm_lpvt
