grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
mundo,MIT,aviso_privacidad,Not.,si,no
mundo,MIT,marco_normativo,Frm.,si,no
mundo,MIT,derechos,Rts.,si,no
mundo,MIT,contacto_dpo,DPO,si,no
mundo,MIT,politica_cookies,Ckp.,no,no
mundo,MIT,declaracion_accesibilidad,Acc.,si,no
mundo,Stanford,aviso_privacidad,Not.,si,no
mundo,Stanford,marco_normativo,Frm.,si,no
mundo,Stanford,derechos,Rts.,si,no
mundo,Stanford,contacto_dpo,DPO,si,no
mundo,Stanford,politica_cookies,Ckp.,si,no
mundo,Stanford,declaracion_accesibilidad,Acc.,si,no
mundo,Harvard,aviso_privacidad,Not.,si,no
mundo,Harvard,marco_normativo,Frm.,no,si
mundo,Harvard,derechos,Rts.,no,no
mundo,Harvard,contacto_dpo,DPO,no,no
mundo,Harvard,politica_cookies,Ckp.,no,no
mundo,Harvard,declaracion_accesibilidad,Acc.,si,no
mundo,Oxford,aviso_privacidad,Not.,si,no
mundo,Oxford,marco_normativo,Frm.,si,no
mundo,Oxford,derechos,Rts.,si,no
mundo,Oxford,contacto_dpo,DPO,si,no
mundo,Oxford,politica_cookies,Ckp.,si,no
mundo,Oxford,declaracion_accesibilidad,Acc.,si,no
mundo,Cambridge,aviso_privacidad,Not.,si,si
mundo,Cambridge,marco_normativo,Frm.,parcial,no
mundo,Cambridge,derechos,Rts.,no,no
mundo,Cambridge,contacto_dpo,DPO,no,no
mundo,Cambridge,politica_cookies,Ckp.,si,no
mundo,Cambridge,declaracion_accesibilidad,Acc.,si,no
mundo,Caltech,aviso_privacidad,Not.,si,no
mundo,Caltech,marco_normativo,Frm.,si,no
mundo,Caltech,derechos,Rts.,no,no
mundo,Caltech,contacto_dpo,DPO,si,no
mundo,Caltech,politica_cookies,Ckp.,no,no
mundo,Caltech,declaracion_accesibilidad,Acc.,si,no
mundo,UC Berkeley,aviso_privacidad,Not.,si,no
mundo,UC Berkeley,marco_normativo,Frm.,si,no
mundo,UC Berkeley,derechos,Rts.,no,no
mundo,UC Berkeley,contacto_dpo,DPO,si,no
mundo,UC Berkeley,politica_cookies,Ckp.,no,no
mundo,UC Berkeley,declaracion_accesibilidad,Acc.,si,no
mundo,Princeton,aviso_privacidad,Not.,si,no
mundo,Princeton,marco_normativo,Frm.,si,no
mundo,Princeton,derechos,Rts.,si,no
mundo,Princeton,contacto_dpo,DPO,si,no
mundo,Princeton,politica_cookies,Ckp.,no,no
mundo,Princeton,declaracion_accesibilidad,Acc.,si,no
mundo,Imperial,aviso_privacidad,Not.,si,no
mundo,Imperial,marco_normativo,Frm.,si,no
mundo,Imperial,derechos,Rts.,parcial,no
mundo,Imperial,contacto_dpo,DPO,no,no
mundo,Imperial,politica_cookies,Ckp.,si,no
mundo,Imperial,declaracion_accesibilidad,Acc.,si,no
mundo,U Chicago,aviso_privacidad,Not.,si,no
mundo,U Chicago,marco_normativo,Frm.,parcial,no
mundo,U Chicago,derechos,Rts.,si,no
mundo,U Chicago,contacto_dpo,DPO,si,no
mundo,U Chicago,politica_cookies,Ckp.,no,no
mundo,U Chicago,declaracion_accesibilidad,Acc.,no,no
mundo,ETH Zurich,aviso_privacidad,Not.,si,no
mundo,ETH Zurich,marco_normativo,Frm.,si,no
mundo,ETH Zurich,derechos,Rts.,si,no
mundo,ETH Zurich,contacto_dpo,DPO,si,no
mundo,ETH Zurich,politica_cookies,Ckp.,no,no
mundo,ETH Zurich,declaracion_accesibilidad,Acc.,si,no
mundo,Yale,aviso_privacidad,Not.,si,no
mundo,Yale,marco_normativo,Frm.,si,no
mundo,Yale,derechos,Rts.,parcial,no
mundo,Yale,contacto_dpo,DPO,si,no
mundo,Yale,politica_cookies,Ckp.,no,no
mundo,Yale,declaracion_accesibilidad,Acc.,si,no
mundo,UPenn,aviso_privacidad,Not.,si,no
mundo,UPenn,marco_normativo,Frm.,parcial,no
mundo,UPenn,derechos,Rts.,si,no
mundo,UPenn,contacto_dpo,DPO,si,no
mundo,UPenn,politica_cookies,Ckp.,no,no
mundo,UPenn,declaracion_accesibilidad,Acc.,si,no
mundo,UCL,aviso_privacidad,Not.,si,no
mundo,UCL,marco_normativo,Frm.,parcial,no
mundo,UCL,derechos,Rts.,si,no
mundo,UCL,contacto_dpo,DPO,si,no
mundo,UCL,politica_cookies,Ckp.,si,no
mundo,UCL,declaracion_accesibilidad,Acc.,si,no
mundo,Cornell,aviso_privacidad,Not.,si,no
mundo,Cornell,marco_normativo,Frm.,parcial,no
mundo,Cornell,derechos,Rts.,si,no
mundo,Cornell,contacto_dpo,DPO,si,no
mundo,Cornell,politica_cookies,Ckp.,no,no
mundo,Cornell,declaracion_accesibilidad,Acc.,si,no
mundo,Tsinghua,aviso_privacidad,Not.,si,no
mundo,Tsinghua,marco_normativo,Frm.,si,no
mundo,Tsinghua,derechos,Rts.,si,no
mundo,Tsinghua,contacto_dpo,DPO,si,no
mundo,Tsinghua,politica_cookies,Ckp.,no,no
mundo,Tsinghua,declaracion_accesibilidad,Acc.,no,no
mundo,Peking,aviso_privacidad,Not.,parcial,no
mundo,Peking,marco_normativo,Frm.,parcial,no
mundo,Peking,derechos,Rts.,no,no
mundo,Peking,contacto_dpo,DPO,no,no
mundo,Peking,politica_cookies,Ckp.,no,no
mundo,Peking,declaracion_accesibilidad,Acc.,no,no
mundo,Johns Hopkins,aviso_privacidad,Not.,si,no
mundo,Johns Hopkins,marco_normativo,Frm.,si,no
mundo,Johns Hopkins,derechos,Rts.,si,no
mundo,Johns Hopkins,contacto_dpo,DPO,si,no
mundo,Johns Hopkins,politica_cookies,Ckp.,no,no
mundo,Johns Hopkins,declaracion_accesibilidad,Acc.,si,no
mundo,Columbia,aviso_privacidad,Not.,si,no
mundo,Columbia,marco_normativo,Frm.,si,no
mundo,Columbia,derechos,Rts.,si,no
mundo,Columbia,contacto_dpo,DPO,si,no
mundo,Columbia,politica_cookies,Ckp.,si,no
mundo,Columbia,declaracion_accesibilidad,Acc.,si,no
mundo,Toronto,aviso_privacidad,Not.,si,no
mundo,Toronto,marco_normativo,Frm.,si,no
mundo,Toronto,derechos,Rts.,si,no
mundo,Toronto,contacto_dpo,DPO,si,no
mundo,Toronto,politica_cookies,Ckp.,no,no
mundo,Toronto,declaracion_accesibilidad,Acc.,si,no
mundo,UCLA,aviso_privacidad,Not.,si,no
mundo,UCLA,marco_normativo,Frm.,si,no
mundo,UCLA,derechos,Rts.,si,no
mundo,UCLA,contacto_dpo,DPO,si,no
mundo,UCLA,politica_cookies,Ckp.,no,no
mundo,UCLA,declaracion_accesibilidad,Acc.,si,no
mundo,NUS,aviso_privacidad,Not.,si,no
mundo,NUS,marco_normativo,Frm.,si,no
mundo,NUS,derechos,Rts.,si,no
mundo,NUS,contacto_dpo,DPO,si,no
mundo,NUS,politica_cookies,Ckp.,no,no
mundo,NUS,declaracion_accesibilidad,Acc.,no,no
mundo,U Tokyo,aviso_privacidad,Not.,si,no
mundo,U Tokyo,marco_normativo,Frm.,si,no
mundo,U Tokyo,derechos,Rts.,si,no
mundo,U Tokyo,contacto_dpo,DPO,no,no
mundo,U Tokyo,politica_cookies,Ckp.,no,no
mundo,U Tokyo,declaracion_accesibilidad,Acc.,no,no
mundo,TUM,aviso_privacidad,Not.,si,no
mundo,TUM,marco_normativo,Frm.,si,no
mundo,TUM,derechos,Rts.,si,no
mundo,TUM,contacto_dpo,DPO,si,no
mundo,TUM,politica_cookies,Ckp.,no,no
mundo,TUM,declaracion_accesibilidad,Acc.,no,no
mundo,Melbourne,aviso_privacidad,Not.,si,no
mundo,Melbourne,marco_normativo,Frm.,si,no
mundo,Melbourne,derechos,Rts.,si,no
mundo,Melbourne,contacto_dpo,DPO,si,no
mundo,Melbourne,politica_cookies,Ckp.,no,no
mundo,Melbourne,declaracion_accesibilidad,Acc.,no,no
mundo,Edinburgh,aviso_privacidad,Not.,si,no
mundo,Edinburgh,marco_normativo,Frm.,si,no
mundo,Edinburgh,derechos,Rts.,si,no
mundo,Edinburgh,contacto_dpo,DPO,si,no
mundo,Edinburgh,politica_cookies,Ckp.,no,no
mundo,Edinburgh,declaracion_accesibilidad,Acc.,si,no
mundo,EPFL,aviso_privacidad,Not.,si,no
mundo,EPFL,marco_normativo,Frm.,si,no
mundo,EPFL,derechos,Rts.,si,no
mundo,EPFL,contacto_dpo,DPO,si,no
mundo,EPFL,politica_cookies,Ckp.,no,no
mundo,EPFL,declaracion_accesibilidad,Acc.,si,no
mundo,Michigan,aviso_privacidad,Not.,si,no
mundo,Michigan,marco_normativo,Frm.,no,no
mundo,Michigan,derechos,Rts.,no,no
mundo,Michigan,contacto_dpo,DPO,si,no
mundo,Michigan,politica_cookies,Ckp.,no,no
mundo,Michigan,declaracion_accesibilidad,Acc.,no,no
mundo,Northwestern,aviso_privacidad,Not.,si,no
mundo,Northwestern,marco_normativo,Frm.,parcial,no
mundo,Northwestern,derechos,Rts.,si,no
mundo,Northwestern,contacto_dpo,DPO,si,no
mundo,Northwestern,politica_cookies,Ckp.,si,no
mundo,Northwestern,declaracion_accesibilidad,Acc.,si,no
mundo,Fudan,aviso_privacidad,Not.,no,no
mundo,Fudan,marco_normativo,Frm.,no,no
mundo,Fudan,derechos,Rts.,no,no
mundo,Fudan,contacto_dpo,DPO,no,no
mundo,Fudan,politica_cookies,Ckp.,no,no
mundo,Fudan,declaracion_accesibilidad,Acc.,no,no
mundo,PSL,aviso_privacidad,Not.,si,no
mundo,PSL,marco_normativo,Frm.,si,no
mundo,PSL,derechos,Rts.,si,no
mundo,PSL,contacto_dpo,DPO,si,no
mundo,PSL,politica_cookies,Ckp.,no,no
mundo,PSL,declaracion_accesibilidad,Acc.,no,no
mundo,HKU,aviso_privacidad,Not.,si,no
mundo,HKU,marco_normativo,Frm.,si,no
mundo,HKU,derechos,Rts.,si,no
mundo,HKU,contacto_dpo,DPO,si,no
mundo,HKU,politica_cookies,Ckp.,no,no
mundo,HKU,declaracion_accesibilidad,Acc.,si,no
mundo,Zhejiang,aviso_privacidad,Not.,si,no
mundo,Zhejiang,marco_normativo,Frm.,parcial,no
mundo,Zhejiang,derechos,Rts.,si,no
mundo,Zhejiang,contacto_dpo,DPO,si,no
mundo,Zhejiang,politica_cookies,Ckp.,no,no
mundo,Zhejiang,declaracion_accesibilidad,Acc.,no,no
mundo,NYU,aviso_privacidad,Not.,si,no
mundo,NYU,marco_normativo,Frm.,si,no
mundo,NYU,derechos,Rts.,si,no
mundo,NYU,contacto_dpo,DPO,si,no
mundo,NYU,politica_cookies,Ckp.,no,no
mundo,NYU,declaracion_accesibilidad,Acc.,si,no
mundo,SJTU,aviso_privacidad,Not.,no,no
mundo,SJTU,marco_normativo,Frm.,no,no
mundo,SJTU,derechos,Rts.,no,no
mundo,SJTU,contacto_dpo,DPO,no,no
mundo,SJTU,politica_cookies,Ckp.,no,no
mundo,SJTU,declaracion_accesibilidad,Acc.,no,no
mundo,KCL,aviso_privacidad,Not.,si,no
mundo,KCL,marco_normativo,Frm.,parcial,no
mundo,KCL,derechos,Rts.,si,no
mundo,KCL,contacto_dpo,DPO,si,no
mundo,KCL,politica_cookies,Ckp.,si,no
mundo,KCL,declaracion_accesibilidad,Acc.,si,no
mundo,UCSD,aviso_privacidad,Not.,si,no
mundo,UCSD,marco_normativo,Frm.,si,no
mundo,UCSD,derechos,Rts.,si,no
mundo,UCSD,contacto_dpo,DPO,si,no
mundo,UCSD,politica_cookies,Ckp.,no,no
mundo,UCSD,declaracion_accesibilidad,Acc.,si,no
mundo,LMU,aviso_privacidad,Not.,si,no
mundo,LMU,marco_normativo,Frm.,si,no
mundo,LMU,derechos,Rts.,si,no
mundo,LMU,contacto_dpo,DPO,si,no
mundo,LMU,politica_cookies,Ckp.,no,no
mundo,LMU,declaracion_accesibilidad,Acc.,si,no
mundo,Duke,aviso_privacidad,Not.,si,no
mundo,Duke,marco_normativo,Frm.,si,no
mundo,Duke,derechos,Rts.,si,no
mundo,Duke,contacto_dpo,DPO,si,no
mundo,Duke,politica_cookies,Ckp.,no,no
mundo,Duke,declaracion_accesibilidad,Acc.,si,no
mundo,Manchester,aviso_privacidad,Not.,si,no
mundo,Manchester,marco_normativo,Frm.,si,no
mundo,Manchester,derechos,Rts.,parcial,no
mundo,Manchester,contacto_dpo,DPO,si,no
mundo,Manchester,politica_cookies,Ckp.,no,no
mundo,Manchester,declaracion_accesibilidad,Acc.,si,no
mundo,UBC,aviso_privacidad,Not.,si,no
mundo,UBC,marco_normativo,Frm.,si,no
mundo,UBC,derechos,Rts.,parcial,no
mundo,UBC,contacto_dpo,DPO,si,no
mundo,UBC,politica_cookies,Ckp.,no,no
mundo,UBC,declaracion_accesibilidad,Acc.,si,no
mundo,Sydney,aviso_privacidad,Not.,si,no
mundo,Sydney,marco_normativo,Frm.,si,no
mundo,Sydney,derechos,Rts.,si,no
mundo,Sydney,contacto_dpo,DPO,si,no
mundo,Sydney,politica_cookies,Ckp.,no,no
mundo,Sydney,declaracion_accesibilidad,Acc.,si,no
mundo,Paris-Saclay,aviso_privacidad,Not.,si,no
mundo,Paris-Saclay,marco_normativo,Frm.,si,no
mundo,Paris-Saclay,derechos,Rts.,si,no
mundo,Paris-Saclay,contacto_dpo,DPO,si,no
mundo,Paris-Saclay,politica_cookies,Ckp.,si,no
mundo,Paris-Saclay,declaracion_accesibilidad,Acc.,si,no
mundo,Kyoto,aviso_privacidad,Not.,si,no
mundo,Kyoto,marco_normativo,Frm.,parcial,no
mundo,Kyoto,derechos,Rts.,si,no
mundo,Kyoto,contacto_dpo,DPO,si,no
mundo,Kyoto,politica_cookies,Ckp.,no,no
mundo,Kyoto,declaracion_accesibilidad,Acc.,no,no
mundo,Illinois,aviso_privacidad,Not.,si,no
mundo,Illinois,marco_normativo,Frm.,si,no
mundo,Illinois,derechos,Rts.,si,no
mundo,Illinois,contacto_dpo,DPO,si,no
mundo,Illinois,politica_cookies,Ckp.,no,no
mundo,Illinois,declaracion_accesibilidad,Acc.,si,no
mundo,UT Austin,aviso_privacidad,Not.,si,no
mundo,UT Austin,marco_normativo,Frm.,si,no
mundo,UT Austin,derechos,Rts.,si,no
