id,grupo,sigla,universidad,pais,url,fecha,axe_version,ok,https,cookies_total_pre,cookies_rastreo_pre,nombres_pre,nombres_rastreo,cmp,banner,title,lang,viewport,skip_link,ax_violaciones,ax_nodos,nodos_A,nodos_AA,nodos_AAA,perceptible,operable,comprensible,robusto,max_nivel_sin_fallo,incompletos,passes
1,ecuador,EPN,Escuela Politécnica Nacional,EC,https://www.epn.edu.ec,2026-08-14T06:38:17.158Z,4.13.0,yes,yes,3,0,path | ep_session_id | cf_clearance,,,no,,es,yes,no,3,4,2,2,0,2,2,0,0,ninguno,1,28
2,ecuador,ESPOL,Escuela Superior Politécnica del Litoral,EC,https://www.espol.edu.ec,2026-08-14T06:38:26.458Z,4.13.0,yes,yes,5,4,TS014590ac | _ga_2QNGYSJLK4 | _ga | _gid | _gat_gtag_UA_5343888_2,_ga_2QNGYSJLK4 | _ga | _gid | _gat_gtag_UA_5343888_2,CookieYes,yes,Escuela Superior Politécnica del Litoral,es,yes,yes,4,76,2,67,7,64,10,0,2,ninguno,4,32
3,ecuador,ESPOCH,Escuela Superior Politécnica de Chimborazo,EC,https://www.espoch.edu.ec,2026-08-14T06:38:35.630Z,4.13.0,yes,yes,2,0,cookiesession1 | cookieyes-consent,,CookieYes,yes,Inicio - ESPOCH｜ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,es,yes,no,3,70,16,4,50,54,16,0,0,ninguno,4,32
4,ecuador,ESPAM MFL,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,EC,https://www.espam.edu.ec,2026-08-14T06:38:43.667Z,4.13.0,yes,yes,0,0,,,,no,ESPAM MFL,es,yes,no,7,32,14,9,9,21,8,0,3,ninguno,2,22
5,ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,EC,https://www.espe.edu.ec,2026-08-14T06:38:53.697Z,4.13.0,yes,yes,81,7, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | route | ospSession | __utma | __utmc | __utmz | __utmt | __utmb | _ga_DNYB2YPXC9 | _ga,__utma | __utmc | __utmz | __utmt | __utmb | _ga_DNYB2YPXC9 | _ga,,no,ESPE | Universidad de las Fuerzas Armadas | Sangolquí,es,yes,yes,3,20,11,9,0,0,18,0,2,ninguno,2,27
6,ecuador,UCE,Universidad Central del Ecuador,EC,https://www.uce.edu.ec,2026-08-14T06:39:02.200Z,4.13.0,yes,yes,8,5,JSESSIONID | COOKIE_SUPPORT | GUEST_LANGUAGE_ID | __utma | __utmc | __utmz | __utmt | __utmb,__utma | __utmc | __utmz | __utmt | __utmb,,no,administrativos - Universidad Central del Ecuador,es,yes,no,4,97,17,15,65,80,17,0,0,ninguno,3,28
7,ecuador,UCuenca,Universidad de Cuenca,EC,https://www.ucuenca.edu.ec,2026-08-14T06:39:10.985Z,4.13.0,yes,yes,12,8,_ga | _ga_23BSZ91CCT | wp-wpml_current_language | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | pbid,_ga | _ga_23BSZ91CCT | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | _fbp,,yes,Home - UCUENCA,es-ES,yes,no,5,61,57,4,0,5,39,0,17,ninguno,4,26
8,ecuador,UG,Universidad de Guayaquil,EC,https://www.ug.edu.ec,2026-08-14T06:39:18.968Z,4.13.0,yes,yes,2,0,pvc_visits[0] | srs_unique_visitor,,,no,"Universidad de Guayaquil – La universidad más grande, importante y gloriosa del país.",es,yes,no,1,22,0,0,22,22,0,0,0,AA,3,30
9,ecuador,UNL,Universidad Nacional de Loja,EC,https://www.unl.edu.ec,2026-08-14T06:39:26.894Z,4.13.0,yes,yes,2,2,_ga_HCDKPL9C20 | _ga,_ga_HCDKPL9C20 | _ga,CookieYes,no,Inicio Universidad Nacional de Loja,es,yes,no,4,122,115,6,1,14,108,0,0,ninguno,2,32
10,ecuador,UAE,Universidad Agraria del Ecuador,EC,https://www.uagraria.edu.ec,2026-08-14T06:39:34.357Z,4.13.0,yes,yes,4,4,_ga | _gid | _gat | _ga_5PM2XSRM63,_ga | _gid | _gat | _ga_5PM2XSRM63,,no,UAE - La Nueva Universidad Agraria,es,yes,no,5,34,6,15,13,28,0,0,6,ninguno,3,25
11,ecuador,UTA,Universidad Técnica de Ambato,EC,https://uta.edu.ec,2026-08-14T06:39:43.161Z,4.13.0,yes,yes,0,0,,,,no,UTA,es,yes,no,3,15,6,2,7,9,0,0,6,ninguno,4,27
12,ecuador,UTB,Universidad Técnica de Babahoyo,EC,https://utb.edu.ec,2026-08-14T06:39:49.562Z,4.13.0,yes,yes,9,6,_gid | _gat_gtag_UA_68893477_2 | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN | _ga_WNXLYS2MLG | _ga,_gid | _gat_gtag_UA_68893477_2 | YSC | VISITOR_INFO1_LIVE | _ga_WNXLYS2MLG | _ga,,no,Universidad Técnica de Babahoyo | Por ti UTB,es,yes,yes,7,32,23,9,0,6,21,0,5,ninguno,1,23
13,ecuador,UTC,Universidad Técnica de Cotopaxi,EC,https://www.utc.edu.ec,2026-08-14T06:39:56.657Z,4.13.0,yes,yes,10,2,dnn_IsMobile | language | .ASPXANONYMOUS | __RequestVerificationToken | __cf_bm | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN,YSC | VISITOR_INFO1_LIVE,,no,Universidad Técnica de Cotopaxi > Home,es-ES,yes,no,5,40,39,1,0,19,19,0,2,ninguno,2,23
14,ecuador,UTMACH,Universidad Técnica de Machala,EC,https://www.utmachala.edu.ec,2026-08-14T06:40:01.775Z,4.13.0,yes,yes,0,0,,,,no,Universidad Técnica de Machala,es-ec,yes,no,4,8,2,6,0,7,1,0,0,ninguno,0,14
15,ecuador,UTM,Universidad Técnica de Manabí,EC,https://www.utm.edu.ec,2026-08-14T06:40:10.509Z,4.13.0,yes,yes,2,0,489c4e03dd158b76f3e726728ac0dc12 | sppb_user_timezone,,,no,Universidad Técnica de Manabí - Inicio,es-es,yes,no,5,39,23,7,9,14,12,0,13,ninguno,2,28
16,ecuador,UTN,Universidad Técnica del Norte,EC,https://www.utn.edu.ec,2026-08-14T06:40:17.863Z,4.13.0,yes,yes,3,2,_GRECAPTCHA | _ga_SBC1J4DHX0 | _ga,_ga_SBC1J4DHX0 | _ga,,no,Universidad Técnica del Norte – Ciencia y Técnica al Servicio del Pueblo,es,yes,no,4,23,9,5,9,15,8,0,0,ninguno,1,29
17,ecuador,UTEQ,Universidad Técnica Estatal de Quevedo,EC,https://www.uteq.edu.ec,2026-08-14T06:40:24.861Z,4.13.0,yes,yes,3,3,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,,no,UTEQ - Universidad Técnica Estatal de Quevedo,es,yes,no,5,110,109,0,1,7,0,0,103,ninguno,3,29
18,ecuador,UTELVT,Universidad Técnica Luis Vargas Torres de Esmeraldas,EC,https://www.utelvt.edu.ec,2026-08-14T06:40:35.349Z,4.13.0,yes,yes,0,0,,,,no,Universidad Técnica Luis Vargas Torres – Universidad Técnica Luis Vargas Torres,es,yes,no,4,32,6,9,17,27,5,0,0,ninguno,3,27
19,ecuador,UEB,Universidad Estatal de Bolívar,EC,https://www.ueb.edu.ec,2026-08-14T06:40:44.732Z,4.13.0,yes,yes,2,0,XSRF-TOKEN | ueb_session,,CookieYes,no,Universidad Estatal de Bolívar,es,yes,no,5,55,28,13,14,27,26,0,2,ninguno,3,30
20,ecuador,UNESUM,Universidad Estatal del Sur de Manabí,EC,https://unesum.edu.ec,2026-08-14T06:40:52.207Z,4.13.0,yes,yes,1,0,__cf_bm,,,no,UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ – UNESUM,es,yes,no,2,8,8,0,0,1,7,0,0,ninguno,4,31
21,ecuador,UNEMI,Universidad Estatal de Milagro,EC,https://www.unemi.edu.ec,2026-08-14T06:41:00.997Z,4.13.0,yes,yes,2,2,_ga | _ga_MQGK6RGL8F,_ga | _ga_MQGK6RGL8F,,no,UNEMI - ¡La Universidad en línea del Ecuador!,es,yes,no,5,34,28,6,0,6,23,0,5,ninguno,4,31
