id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
1,ecuador,EPN,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
1,ecuador,EPN,document-title,serious,2.4.2,Operable,A,1,Documents must have <title> element to aid in navigation
1,ecuador,EPN,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
2,ecuador,ESPOL,color-contrast,serious,1.4.3,Perceptible,AA,57,Elements must meet minimum color contrast ratio thresholds
2,ecuador,ESPOL,target-size,serious,2.5.8,Operable,AA,10,"All touch targets must be 24px large, or leave sufficient space"
2,ecuador,ESPOL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
2,ecuador,ESPOL,button-name,critical,4.1.2,Robusto,A,2,Buttons must have discernible text
3,ecuador,ESPOCH,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,50,Elements must meet enhanced color contrast ratio thresholds
3,ecuador,ESPOCH,link-name,serious,2.4.4,Operable,A,16,Links must have discernible text
3,ecuador,ESPOCH,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
4,ecuador,ESPAM MFL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
4,ecuador,ESPAM MFL,color-contrast,serious,1.4.3,Perceptible,AA,9,Elements must meet minimum color contrast ratio thresholds
4,ecuador,ESPAM MFL,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
4,ecuador,ESPAM MFL,button-name,critical,4.1.2,Robusto,A,3,Buttons must have discernible text
4,ecuador,ESPAM MFL,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
4,ecuador,ESPAM MFL,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
4,ecuador,ESPAM MFL,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
5,ecuador,ESPE,link-name,serious,2.4.4,Operable,A,9,Links must have discernible text
5,ecuador,ESPE,target-size,serious,2.5.8,Operable,AA,9,"All touch targets must be 24px large, or leave sufficient space"
5,ecuador,ESPE,aria-command-name,serious,4.1.2,Robusto,A,2,ARIA commands must have an accessible name
6,ecuador,UCE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,65,Elements must meet enhanced color contrast ratio thresholds
6,ecuador,UCE,color-contrast,serious,1.4.3,Perceptible,AA,15,Elements must meet minimum color contrast ratio thresholds
6,ecuador,UCE,link-name,serious,2.4.4,Operable,A,15,Links must have discernible text
6,ecuador,UCE,scrollable-region-focusable,serious,2.1.1,Operable,A,2,Scrollable region must have keyboard access
7,ecuador,UCuenca,link-name,serious,2.4.4,Operable,A,39,Links must have discernible text
7,ecuador,UCuenca,button-name,critical,4.1.2,Robusto,A,9,Buttons must have discernible text
7,ecuador,UCuenca,aria-allowed-attr,critical,4.1.2,Robusto,A,8,Elements must only use supported ARIA attributes
7,ecuador,UCuenca,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
7,ecuador,UCuenca,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
8,ecuador,UG,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,22,Elements must meet enhanced color contrast ratio thresholds
9,ecuador,UNL,link-name,serious,2.4.4,Operable,A,108,Links must have discernible text
9,ecuador,UNL,image-alt,critical,1.1.1,Perceptible,A,7,Images must have alternative text
9,ecuador,UNL,color-contrast,serious,1.4.3,Perceptible,AA,6,Elements must meet minimum color contrast ratio thresholds
9,ecuador,UNL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
10,ecuador,UAE,color-contrast,serious,1.4.3,Perceptible,AA,15,Elements must meet minimum color contrast ratio thresholds
10,ecuador,UAE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,13,Elements must meet enhanced color contrast ratio thresholds
10,ecuador,UAE,nested-interactive,serious,4.1.2,Robusto,A,4,Interactive controls must not be nested
10,ecuador,UAE,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
10,ecuador,UAE,frame-title,serious,4.1.2,Robusto,A,1,Frames must have an accessible name
11,ecuador,UTA,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
11,ecuador,UTA,aria-allowed-attr,critical,4.1.2,Robusto,A,6,Elements must only use supported ARIA attributes
11,ecuador,UTA,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
12,ecuador,UTB,link-name,serious,2.4.4,Operable,A,17,Links must have discernible text
12,ecuador,UTB,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
12,ecuador,UTB,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
12,ecuador,UTB,frame-title,serious,4.1.2,Robusto,A,3,Frames must have an accessible name
12,ecuador,UTB,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
12,ecuador,UTB,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
12,ecuador,UTB,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
13,ecuador,UTC,link-name,serious,2.4.4,Operable,A,19,Links must have discernible text
13,ecuador,UTC,image-alt,critical,1.1.1,Perceptible,A,17,Images must have alternative text
13,ecuador,UTC,frame-title,serious,4.1.2,Robusto,A,2,Frames must have an accessible name
13,ecuador,UTC,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
13,ecuador,UTC,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
14,ecuador,UTMACH,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
14,ecuador,UTMACH,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
14,ecuador,UTMACH,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
14,ecuador,UTMACH,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
15,ecuador,UTM,aria-hidden-focus,serious,4.1.2,Robusto,A,13,ARIA hidden element must not be focusable or contain focusable elements
15,ecuador,UTM,link-name,serious,2.4.4,Operable,A,10,Links must have discernible text
15,ecuador,UTM,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
15,ecuador,UTM,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
15,ecuador,UTM,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
16,ecuador,UTN,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
16,ecuador,UTN,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
16,ecuador,UTN,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
16,ecuador,UTN,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
17,ecuador,UTEQ,aria-hidden-focus,serious,4.1.2,Robusto,A,103,ARIA hidden element must not be focusable or contain focusable elements
17,ecuador,UTEQ,listitem,serious,1.3.1,Perceptible,A,3,<li> elements must be contained in a <ul> or <ol>
17,ecuador,UTEQ,list,serious,1.3.1,Perceptible,A,2,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
