id,grupo,sigla,universidad,sitio,codigo,irregularidad,valor_actual,accion_requerida
1,ecuador,EPN,Escuela Politécnica Nacional,https://www.epn.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
1,ecuador,EPN,Escuela Politécnica Nacional,https://www.epn.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
2,ecuador,ESPOL,Escuela Superior Politécnica del Litoral,https://www.espol.edu.ec,I4,Sin banner en el estudio pero visible en vivo,"estudio=No detectable, en vivo=Sí, CMP=CookieYes","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
2,ecuador,ESPOL,Escuela Superior Politécnica del Litoral,https://www.espol.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
3,ecuador,ESPOCH,Escuela Superior Politécnica de Chimborazo,https://www.espoch.edu.ec,I4,Sin banner en el estudio pero visible en vivo,"estudio=No detectable, en vivo=Sí, CMP=CookieYes","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
4,ecuador,ESPAM MFL,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,https://www.espam.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
5,ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,https://www.espe.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
5,ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,https://www.espe.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
6,ecuador,UCE,Universidad Central del Ecuador,https://www.uce.edu.ec,I1,Medicion de cookies ausente,celda vacia,"Repetir la pasada con el mismo protocolo y registrar el resultado, o declarar el sitio como no medido y excluirlo de los denominadores"
6,ecuador,UCE,Universidad Central del Ecuador,https://www.uce.edu.ec,I2,Verificacion en vivo sin completar,Pendiente,Completar la verificacion en vivo o marcar la fila como no verificada de forma explicita
7,ecuador,UCuenca,Universidad de Cuenca,https://www.ucuenca.edu.ec,I3,Lista de nombres de cookies truncada,"declaradas 12, listadas 10",Recuperar los nombres completos del JSON crudo o declarar el limite de 10 en el libro de codigos
7,ecuador,UCuenca,Universidad de Cuenca,https://www.ucuenca.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
7,ecuador,UCuenca,Universidad de Cuenca,https://www.ucuenca.edu.ec,I9,Campo multivalor separado por coma,"Cookiebot, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
8,ecuador,UG,Universidad de Guayaquil,https://www.ug.edu.ec,I4,Sin banner en el estudio pero visible en vivo,"estudio=No detectable, en vivo=Sí, CMP=CookieYes","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
9,ecuador,UNL,Universidad Nacional de Loja,https://www.unl.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
9,ecuador,UNL,Universidad Nacional de Loja,https://www.unl.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
9,ecuador,UNL,Universidad Nacional de Loja,https://www.unl.edu.ec,I9,Campo multivalor separado por coma,"TrustArc, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
10,ecuador,UAE,Universidad Agraria del Ecuador,https://www.uagraria.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
11,ecuador,UTA,Universidad Técnica de Ambato,https://uta.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
12,ecuador,UTB,Universidad Técnica de Babahoyo,https://utb.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
12,ecuador,UTB,Universidad Técnica de Babahoyo,https://utb.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
15,ecuador,UTM,Universidad Técnica de Manabí,https://www.utm.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
16,ecuador,UTN,Universidad Técnica del Norte,https://www.utn.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
17,ecuador,UTEQ,Universidad Técnica Estatal de Quevedo,https://www.uteq.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
17,ecuador,UTEQ,Universidad Técnica Estatal de Quevedo,https://www.uteq.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
18,ecuador,UTELVT,Universidad Técnica Luis Vargas Torres de Esmeraldas,https://www.utelvt.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
19,ecuador,UEB,Universidad Estatal de Bolívar,https://www.ueb.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
20,ecuador,UNESUM,Universidad Estatal del Sur de Manabí,https://unesum.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
21,ecuador,UNEMI,Universidad Estatal de Milagro,https://www.unemi.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
21,ecuador,UNEMI,Universidad Estatal de Milagro,https://www.unemi.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
22,ecuador,UEA,Universidad Estatal Amazónica,https://www.uea.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
22,ecuador,UEA,Universidad Estatal Amazónica,https://www.uea.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
23,ecuador,UPSE,Universidad Estatal Península de Santa Elena,https://www.upse.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
24,ecuador,ULEAM,Universidad Laica Eloy Alfaro de Manabí,https://www.uleam.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
25,ecuador,UNACH,Universidad Nacional de Chimborazo,https://www.unach.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
26,ecuador,UNAE,Universidad Nacional de Educación,https://unae.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
26,ecuador,UNAE,Universidad Nacional de Educación,https://unae.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
