id,grupo,sigla,universidad,sitio,codigo,irregularidad,valor_actual,accion_requerida
1,mundo,MIT,Massachusetts Institute of Technology,https://www.mit.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
2,mundo,Stanford,Stanford University,https://www.stanford.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
3,mundo,Harvard,Harvard University,https://www.harvard.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
4,mundo,Oxford,University of Oxford,https://www.ox.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
5,mundo,Cambridge,University of Cambridge,https://www.cam.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
6,mundo,Caltech,California Institute of Technology,https://www.caltech.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
6,mundo,Caltech,California Institute of Technology,https://www.caltech.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
7,mundo,UC Berkeley,"University of California, Berkeley",https://www.berkeley.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
8,mundo,Princeton,Princeton University,https://www.princeton.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
8,mundo,Princeton,Princeton University,https://www.princeton.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
8,mundo,Princeton,Princeton University,https://www.princeton.edu,I9,Campo multivalor separado por coma,"TrustArc, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
9,mundo,Imperial,Imperial College London,https://www.imperial.ac.uk,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=OneTrust","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
9,mundo,Imperial,Imperial College London,https://www.imperial.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
9,mundo,Imperial,Imperial College London,https://www.imperial.ac.uk,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
10,mundo,U Chicago,University of Chicago,https://www.uchicago.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
10,mundo,U Chicago,University of Chicago,https://www.uchicago.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
11,mundo,ETH Zurich,ETH Zurich,https://ethz.ch,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
11,mundo,ETH Zurich,ETH Zurich,https://ethz.ch,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
12,mundo,Yale,Yale University,https://www.yale.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
12,mundo,Yale,Yale University,https://www.yale.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
13,mundo,UPenn,University of Pennsylvania,https://www.upenn.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
13,mundo,UPenn,University of Pennsylvania,https://www.upenn.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
14,mundo,UCL,University College London,https://www.ucl.ac.uk,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
14,mundo,UCL,University College London,https://www.ucl.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
14,mundo,UCL,University College London,https://www.ucl.ac.uk,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
15,mundo,Cornell,Cornell University,https://www.cornell.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
16,mundo,Tsinghua,Tsinghua University,https://www.tsinghua.edu.cn/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
17,mundo,Peking,Peking University,https://english.pku.edu.cn,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
18,mundo,Johns Hopkins,Johns Hopkins University,https://www.jhu.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
19,mundo,Columbia,Columbia University,https://www.columbia.edu,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
19,mundo,Columbia,Columbia University,https://www.columbia.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
19,mundo,Columbia,Columbia University,https://www.columbia.edu,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
20,mundo,Toronto,University of Toronto,https://www.utoronto.ca,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
20,mundo,Toronto,University of Toronto,https://www.utoronto.ca,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
20,mundo,Toronto,University of Toronto,https://www.utoronto.ca,I9,Campo multivalor separado por coma,"TrustArc, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
21,mundo,UCLA,"University of California, Los Angeles",https://www.ucla.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
22,mundo,NUS,National University of Singapore,https://nus.edu.sg,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
22,mundo,NUS,National University of Singapore,https://nus.edu.sg,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
22,mundo,NUS,National University of Singapore,https://nus.edu.sg,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
23,mundo,U Tokyo,The University of Tokyo,https://www.u-tokyo.ac.jp/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
24,mundo,TUM,Technical University of Munich,https://www.tum.de/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
24,mundo,TUM,Technical University of Munich,https://www.tum.de/en/,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
25,mundo,Melbourne,The University of Melbourne,https://www.unimelb.edu.au,I3,Lista de nombres de cookies truncada,"declaradas 22, listadas 10",Recuperar los nombres completos del JSON crudo o declarar el limite de 10 en el libro de codigos
25,mundo,Melbourne,The University of Melbourne,https://www.unimelb.edu.au,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
25,mundo,Melbourne,The University of Melbourne,https://www.unimelb.edu.au,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
26,mundo,Edinburgh,University of Edinburgh,https://www.ed.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
27,mundo,EPFL,EPFL,https://www.epfl.ch/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
28,mundo,Michigan,University of Michigan-Ann Arbor,https://umich.edu,I5,Banner en el study pero ausente en vivo,"estudio=Si, en vivo=No, CMP=Ninguna",Comprobar si el sitio retiro el banner entre ambas mediciones y fechar cada observacion por separado
28,mundo,Michigan,University of Michigan-Ann Arbor,https://umich.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
29,mundo,Northwestern,Northwestern University,https://www.northwestern.edu,I5,Banner en el study pero ausente en vivo,"estudio=Si, en vivo=No, CMP=TrustArc, CookieYes",Comprobar si el sitio retiro el banner entre ambas mediciones y fechar cada observacion por separado
29,mundo,Northwestern,Northwestern University,https://www.northwestern.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
29,mundo,Northwestern,Northwestern University,https://www.northwestern.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
29,mundo,Northwestern,Northwestern University,https://www.northwestern.edu,I9,Campo multivalor separado por coma,"TrustArc, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
30,mundo,Fudan,Fudan University,https://www.fudan.edu.cn/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
31,mundo,PSL,PSL University,https://www.psl.eu/en,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
31,mundo,PSL,PSL University,https://www.psl.eu/en,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
32,mundo,HKU,University of Hong Kong,https://www.hku.hk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
33,mundo,Zhejiang,Zhejiang University,https://www.zju.edu.cn/english/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
34,mundo,NYU,New York University,https://www.nyu.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
34,mundo,NYU,New York University,https://www.nyu.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=Osano, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
35,mundo,SJTU,Shanghai Jiao Tong University,https://www.sjtu.edu.cn,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
36,mundo,KCL,King's College London,https://www.kcl.ac.uk,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=OneTrust","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
36,mundo,KCL,King's College London,https://www.kcl.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
36,mundo,KCL,King's College London,https://www.kcl.ac.uk,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
37,mundo,UCSD,"University of California, San Diego",https://www.ucsd.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
38,mundo,LMU,LMU Munich,https://www.lmu.de,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
39,mundo,Duke,Duke University,https://www.duke.edu,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=Ninguna","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
39,mundo,Duke,Duke University,https://www.duke.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
39,mundo,Duke,Duke University,https://www.duke.edu,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
40,mundo,Manchester,University of Manchester,https://www.manchester.ac.uk,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
40,mundo,Manchester,University of Manchester,https://www.manchester.ac.uk,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=OneTrust, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
41,mundo,UBC,University of British Columbia,https://www.ubc.ca,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
42,mundo,Sydney,The University of Sydney,https://www.sydney.edu.au,I3,Lista de nombres de cookies truncada,"declaradas 25, listadas 10",Recuperar los nombres completos del JSON crudo o declarar el limite de 10 en el libro de codigos
42,mundo,Sydney,The University of Sydney,https://www.sydney.edu.au,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
43,mundo,Paris-Saclay,Université Paris-Saclay,https://www.universite-paris-saclay.fr/en,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc, Tarteaucitron","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
43,mundo,Paris-Saclay,Université Paris-Saclay,https://www.universite-paris-saclay.fr/en,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
43,mundo,Paris-Saclay,Université Paris-Saclay,https://www.universite-paris-saclay.fr/en,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
43,mundo,Paris-Saclay,Université Paris-Saclay,https://www.universite-paris-saclay.fr/en,I9,Campo multivalor separado por coma,"TrustArc, Tarteaucitron","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
44,mundo,Kyoto,Kyoto University,https://www.kyoto-u.ac.jp/en,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
44,mundo,Kyoto,Kyoto University,https://www.kyoto-u.ac.jp/en,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
45,mundo,Illinois,University of Illinois Urbana-Champaign,https://illinois.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
45,mundo,Illinois,University of Illinois Urbana-Champaign,https://illinois.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=OneTrust, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
46,mundo,UT Austin,The University of Texas at Austin,https://www.utexas.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
46,mundo,UT Austin,The University of Texas at Austin,https://www.utexas.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
46,mundo,UT Austin,The University of Texas at Austin,https://www.utexas.edu,I9,Campo multivalor separado por coma,"TrustArc, CookieYes","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
47,mundo,UW,University of Washington,https://www.washington.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
48,mundo,NTU,Nanyang Technological University,https://www.ntu.edu.sg,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
48,mundo,NTU,Nanyang Technological University,https://www.ntu.edu.sg,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
49,mundo,McGill,McGill University,https://www.mcgill.ca,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
49,mundo,McGill,McGill University,https://www.mcgill.ca,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
49,mundo,McGill,McGill University,https://www.mcgill.ca,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
50,mundo,CUHK,The Chinese University of Hong Kong,https://www.cuhk.edu.hk/english/index.html,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
51,mundo,CMU,Carnegie Mellon University,https://www.cmu.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
51,mundo,CMU,Carnegie Mellon University,https://www.cmu.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
52,mundo,Wisconsin,University of Wisconsin-Madison,https://www.wisc.edu,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=Ninguna","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
52,mundo,Wisconsin,University of Wisconsin-Madison,https://www.wisc.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
52,mundo,Wisconsin,University of Wisconsin-Madison,https://www.wisc.edu,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
53,mundo,USTC,University of Science and Technology of China,https://en.ustc.edu.cn,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
54,mundo,WUSTL,Washington University in St. Louis,https://washu.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
54,mundo,WUSTL,Washington University in St. Louis,https://washu.edu,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
55,mundo,Monash,Monash University,https://www.monash.edu,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
56,mundo,SNU,Seoul National University,https://en.snu.ac.kr,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
57,mundo,Heidelberg,Heidelberg University,https://www.uni-heidelberg.de/en,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
58,mundo,HKUST,Hong Kong University of Science and Technology,https://hkust.edu.hk/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
58,mundo,HKUST,Hong Kong University of Science and Technology,https://hkust.edu.hk/,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
59,mundo,Karolinska,Karolinska Institutet,https://ki.se/en,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
59,mundo,Karolinska,Karolinska Institutet,https://ki.se/en,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
59,mundo,Karolinska,Karolinska Institutet,https://ki.se/en,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
60,mundo,TU Delft,Delft University of Technology,https://www.tudelft.nl/en/,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=Cookiebot, Usercentrics","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
60,mundo,TU Delft,Delft University of Technology,https://www.tudelft.nl/en/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
60,mundo,TU Delft,Delft University of Technology,https://www.tudelft.nl/en/,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
60,mundo,TU Delft,Delft University of Technology,https://www.tudelft.nl/en/,I9,Campo multivalor separado por coma,"Cookiebot, Usercentrics","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
