#,Universidad,Sigla,Pais,Region,Sitio,Cookies_antes_consentir,Nombres_cookies,CMP_detectada,Banner_visible,Banner_estudio,PolCookies_estudio
1,Massachusetts Institute of Technology,MIT,EE.UU.,EE.UU.,https://www.mit.edu,0,,Ninguna,No,No detectable,No
2,Stanford University,Stanford,EE.UU.,EE.UU.,https://www.stanford.edu,1,_cs_id,Ninguna,No,No detectable,Sí
3,Harvard University,Harvard,EE.UU.,EE.UU.,https://www.harvard.edu,0,,Ninguna,No,No detectable,No
4,University of Oxford,Oxford,Reino Unido,Reino Unido,https://www.ox.ac.uk,0,,Ninguna,No,No detectable,Sí
5,University of Cambridge,Cambridge,Reino Unido,Reino Unido,https://www.cam.ac.uk,0,,Ninguna,No,No detectable,Sí
6,California Institute of Technology,Caltech,EE.UU.,EE.UU.,https://www.caltech.edu,0,,TrustArc,No,No detectable,No
7,"University of California, Berkeley",UC Berkeley,EE.UU.,EE.UU.,https://www.berkeley.edu,1,nmstat,Ninguna,No,No detectable,No
8,Princeton University,Princeton,EE.UU.,EE.UU.,https://www.princeton.edu,0,,"TrustArc, CookieYes",No,No detectable,No
9,Imperial College London,Imperial,Reino Unido,Reino Unido,https://www.imperial.ac.uk,6,AWSALBTG | AWSALBTGCORS | AWSALB | AWSALBCORS | ARRAffinity-WindowsWF | OptanonConsent,OneTrust,Si,No detectable,Sí
10,University of Chicago,U Chicago,EE.UU.,EE.UU.,https://www.uchicago.edu,8,ApplicationGatewayAffinityCORS | ApplicationGatewayAffinity | shell#lang | dismissed-alerts | www#lang | nmstat | _hjSessionUser | _hjSession,CookieYes,No,No detectable,No
11,ETH Zurich,ETH Zurich,Suiza,Europa cont.,https://ethz.ch,0,,CookieYes,No,No detectable,No
12,Yale University,Yale,EE.UU.,EE.UU.,https://www.yale.edu,2,adaptive_image | nmstat,TrustArc,No,No detectable,No
13,University of Pennsylvania,UPenn,EE.UU.,EE.UU.,https://www.upenn.edu,0,,TrustArc,No,No detectable,No
