#,Universidad,Sigla,Tipo,Ciudad,Sitio,Verificacion,Cookies_antes_consentir,Nombres_cookies,Rastreo,CMP_live,Banner_live,Banner_estudio,PolCookies_estudio
1,Escuela Politécnica Nacional,EPN,Pública,Quito,https://www.epn.edu.ec,Verificado en vivo,2,"_ga_6MFE5HRHXE, _ga",Si,CookieYes,No,No detectable,Sí
2,Escuela Superior Politécnica del Litoral,ESPOL,Pública,Guayaquil,https://www.espol.edu.ec,Verificado en vivo,4,"TS014590ac, _ga_2QNGYSJLK4, _ga, _gid",Si,CookieYes,Sí,No detectable,Sí
3,Escuela Superior Politécnica de Chimborazo,ESPOCH,Pública,Riobamba,https://www.espoch.edu.ec,Verificado en vivo,1,cookieyes-consent,No,CookieYes,Sí,No detectable,No
4,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,ESPAM MFL,Pública,Calceta,https://www.espam.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
5,Universidad de las Fuerzas Armadas ESPE,ESPE,Pública,Sangolquí,https://www.espe.edu.ec,Verificado en vivo,7,"_ga_DNYB2YPXC9, _ga, __utma, __utmc, __utmz, __utmt, __utmb",Si,CookieYes,No,No detectable,No
6,Universidad Central del Ecuador,UCE,Pública,Quito,https://www.uce.edu.ec,Pendiente,,,No,,,No detectable,No
7,Universidad de Cuenca,UCuenca,Pública,Cuenca,https://www.ucuenca.edu.ec,Verificado en vivo,12,"_ga, _ga_23BSZ91CCT, wp-wpml_current_language, pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page",Si,"Cookiebot, CookieYes",Sí,Sí,Sí
8,Universidad de Guayaquil,UG,Pública,Guayaquil,https://www.ug.edu.ec,Verificado en vivo,2,"pvc_visits[0], srs_unique_visitor",No,CookieYes,Sí,No detectable,No
9,Universidad Nacional de Loja,UNL,Pública,Loja,https://www.unl.edu.ec,Verificado en vivo,2,"_ga_HCDKPL9C20, _ga",Si,"TrustArc, CookieYes",No,No detectable,No
10,Universidad Agraria del Ecuador,UAE,Pública,Guayaquil,https://www.uagraria.edu.ec,Verificado en vivo,4,"_ga, _gid, _gat, _ga_5PM2XSRM63",Si,Ninguna,No,No detectable,No
11,Universidad Técnica de Ambato,UTA,Pública,Ambato,https://uta.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
12,Universidad Técnica de Babahoyo,UTB,Pública,Babahoyo,https://utb.edu.ec,Verificado en vivo,4,"_gid, _gat_gtag_UA_68893477_2, _ga_WNXLYS2MLG, _ga",Si,TrustArc,No,No detectable,No
13,Universidad Técnica de Cotopaxi,UTC,Pública,Latacunga,https://www.utc.edu.ec,Verificado en vivo,0,0,No,Ninguna,No,No detectable,Sí
14,Universidad Técnica de Machala,UTMACH,Pública,Machala,https://www.utmachala.edu.ec,Verificado en vivo,0,0,No,Ninguna,No,No detectable,No
15,Universidad Técnica de Manabí,UTM,Pública,Portoviejo,https://www.utm.edu.ec,Verificado en vivo,1,sppb_user_timezone,No,CookieYes,No,No detectable,No
16,Universidad Técnica del Norte,UTN,Pública,Ibarra,https://www.utn.edu.ec,Verificado en vivo,2,"_ga_SBC1J4DHX0, _ga",Si,Ninguna,No,No detectable,No
17,Universidad Técnica Estatal de Quevedo,UTEQ,Pública,Quevedo,https://www.uteq.edu.ec,Verificado en vivo,3,"_ga_WVWWZZ7544, _ga, _ga_SSTPXREYGZ",Si,CookieYes,No,No detectable,No
18,Universidad Técnica Luis Vargas Torres de Esmeraldas,UTELVT,Pública,Esmeraldas,https://www.utelvt.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
19,Universidad Estatal de Bolívar,UEB,Pública,Guaranda,https://www.ueb.edu.ec,Verificado en vivo,1,XSRF-TOKEN,No,CookieYes,No,No detectable,No
20,Universidad Estatal del Sur de Manabí,UNESUM,Pública,Jipijapa,https://unesum.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
21,Universidad Estatal de Milagro,UNEMI,Pública,Milagro,https://www.unemi.edu.ec,Verificado en vivo,7,"_ga, _ga_MQGK6RGL8F, _clck, _fbp, _hjSessionUser_3074996, _hjSession_3074996, _clsk",Si,CookieYes,No,No detectable,Sí
22,Universidad Estatal Amazónica,UEA,Pública,Puyo,https://www.uea.edu.ec,Verificado en vivo,2,"_ga_450T1JQNMR, _ga",Si,CookieYes,No,No detectable,No
23,Universidad Estatal Península de Santa Elena,UPSE,Pública,La Libertad,https://www.upse.edu.ec,Verificado en vivo,1,sppb_user_timezone,No,CookieYes,No,No detectable,No
24,Universidad Laica Eloy Alfaro de Manabí,ULEAM,Pública,Manta,https://www.uleam.edu.ec,Verificado en vivo,4,"_gid, _gat_gtag_UA_81009815_1, _ga_12F9F68E6S, _ga",Si,Ninguna,No,No detectable,No
25,Universidad Nacional de Chimborazo,UNACH,Pública,Riobamba,https://www.unach.edu.ec,Verificado en vivo,5,"_gid, _gat_gtag_UA_133447811_1, _ga_YQBSJ5PHNG, _ga, srs_unique_visitor",Si,Ninguna,No,No detectable,No
26,Universidad Nacional de Educación,UNAE,Pública,Azogues,https://unae.edu.ec,Verificado en vivo,6,"_ga_5FWX93M6TG, pll_language, _gid, _gat_gtag_UA_154339291_1, _ga_R13W2764LB, _ga",Si,CookieYes,No,No detectable,No
27,Universidad Politécnica Estatal del Carchi,UPEC,Pública,Tulcán,https://upec.edu.ec,Verificado en vivo,7,"sbjs_migrations, sbjs_current_add, sbjs_first_add, sbjs_current, sbjs_first, sbjs_udata, sbjs_session",Si,CookieYes,No,No detectable,No
28,Universidad de Investigación de Tecnología Experimental Yachay,Yachay Tech,Pública,Urcuquí,https://yachaytech.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
