id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
1,mundo,MIT,target-size,serious,2.5.8,Operable,AA,6,"All touch targets must be 24px large, or leave sufficient space"
1,mundo,MIT,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
1,mundo,MIT,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
2,mundo,Stanford,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,11,Elements must meet enhanced color contrast ratio thresholds
3,mundo,Harvard,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,10,Elements must meet enhanced color contrast ratio thresholds
3,mundo,Harvard,color-contrast,serious,1.4.3,Perceptible,AA,3,Elements must meet minimum color contrast ratio thresholds
5,mundo,Cambridge,image-alt,critical,1.1.1,Perceptible,A,5,Images must have alternative text
5,mundo,Cambridge,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
6,mundo,Caltech,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,25,Elements must meet enhanced color contrast ratio thresholds
6,mundo,Caltech,aria-input-field-name,serious,4.1.2,Robusto,A,2,ARIA input fields must have an accessible name
6,mundo,Caltech,aria-required-children,critical,1.3.1,Perceptible,A,2,Certain ARIA roles must contain particular children
6,mundo,Caltech,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
9,mundo,Imperial,target-size,serious,2.5.8,Operable,AA,15,"All touch targets must be 24px large, or leave sufficient space"
9,mundo,Imperial,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,4,Elements must meet enhanced color contrast ratio thresholds
10,mundo,U Chicago,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
11,mundo,ETH Zurich,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
11,mundo,ETH Zurich,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
12,mundo,Yale,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,14,Elements must meet enhanced color contrast ratio thresholds
12,mundo,Yale,aria-required-children,critical,1.3.1,Perceptible,A,3,Certain ARIA roles must contain particular children
13,mundo,UPenn,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
13,mundo,UPenn,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
15,mundo,Cornell,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,5,Elements must meet enhanced color contrast ratio thresholds
15,mundo,Cornell,aria-prohibited-attr,serious,4.1.2,Robusto,A,1,Elements must only use permitted ARIA attributes
16,mundo,Tsinghua,link-name,serious,2.4.4,Operable,A,27,Links must have discernible text
16,mundo,Tsinghua,image-alt,critical,1.1.1,Perceptible,A,5,Images must have alternative text
16,mundo,Tsinghua,target-size,serious,2.5.8,Operable,AA,5,"All touch targets must be 24px large, or leave sufficient space"
16,mundo,Tsinghua,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,4,Elements must meet enhanced color contrast ratio thresholds
16,mundo,Tsinghua,nested-interactive,serious,4.1.2,Robusto,A,3,Interactive controls must not be nested
16,mundo,Tsinghua,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
16,mundo,Tsinghua,html-has-lang,serious,3.1.1,Comprensible,A,1,<html> element must have a lang attribute
16,mundo,Tsinghua,input-button-name,critical,4.1.2,Robusto,A,1,Input buttons must have discernible text
16,mundo,Tsinghua,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
16,mundo,Tsinghua,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
17,mundo,Peking,link-name,serious,2.4.4,Operable,A,14,Links must have discernible text
17,mundo,Peking,aria-prohibited-attr,serious,4.1.2,Robusto,A,2,Elements must only use permitted ARIA attributes
17,mundo,Peking,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
17,mundo,Peking,html-has-lang,serious,3.1.1,Comprensible,A,1,<html> element must have a lang attribute
17,mundo,Peking,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
18,mundo,Johns Hopkins,link-name,serious,2.4.4,Operable,A,4,Links must have discernible text
18,mundo,Johns Hopkins,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,2,Elements must meet enhanced color contrast ratio thresholds
18,mundo,Johns Hopkins,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
19,mundo,Columbia,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,44,Elements must meet enhanced color contrast ratio thresholds
19,mundo,Columbia,color-contrast,serious,1.4.3,Perceptible,AA,6,Elements must meet minimum color contrast ratio thresholds
19,mundo,Columbia,nested-interactive,serious,4.1.2,Robusto,A,1,Interactive controls must not be nested
19,mundo,Columbia,role-img-alt,serious,1.1.1,Perceptible,A,1,"[role=""img""] and [role=""image""] elements must have alternative text"
20,mundo,Toronto,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,19,Elements must meet enhanced color contrast ratio thresholds
