id,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto
1,Ecuador,EPN,EC,https://www.epn.edu.ec,true,,,es,1,1,3,0,,,0,3,4,2,2,0,2,2,0,0,ninguno
2,Ecuador,ESPOL,EC,https://www.espol.edu.ec,true,,Escuela Superior Politécnica del Litoral,es,1,1,5,4,_ga_2QNGYSJLK4 _ga _gid _gat_gtag_UA_5343888_2,CookieYes,1,4,76,2,67,7,64,10,0,2,ninguno
3,Ecuador,ESPOCH,EC,https://www.espoch.edu.ec,true,,Inicio - ESPOCH｜ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,es,1,1,2,0,,CookieYes,1,3,70,16,4,50,54,16,0,0,ninguno
4,Ecuador,ESPAM MFL,EC,https://www.espam.edu.ec,true,,ESPAM MFL,es,1,1,0,0,,,0,7,32,14,9,9,21,8,0,3,ninguno
5,Ecuador,ESPE,EC,https://www.espe.edu.ec,true,,ESPE | Universidad de las Fuerzas Armadas | Sangolquí,es,1,1,81,7,__utma __utmc __utmz __utmt __utmb _ga_DNYB2YPXC9 _ga,,0,3,20,11,9,0,0,18,0,2,ninguno
6,Ecuador,UCE,EC,https://www.uce.edu.ec,true,,administrativos - Universidad Central del Ecuador,es,1,1,8,5,__utma __utmc __utmz __utmt __utmb,,0,4,97,17,15,65,80,17,0,0,ninguno
7,Ecuador,UCuenca,EC,https://www.ucuenca.edu.ec,true,,Home - UCUENCA,es-ES,1,1,12,8,_ga _ga_23BSZ91CCT pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp,,1,5,61,57,4,0,5,39,0,17,ninguno
8,Ecuador,UG,EC,https://www.ug.edu.ec,true,,"Universidad de Guayaquil – La universidad más grande, importante y gloriosa del país.",es,1,1,2,0,,,0,1,22,0,0,22,22,0,0,0,AA
9,Ecuador,UNL,EC,https://www.unl.edu.ec,true,,Inicio Universidad Nacional de Loja,es,1,1,2,2,_ga_HCDKPL9C20 _ga,CookieYes,0,4,122,115,6,1,14,108,0,0,ninguno
10,Ecuador,UAE,EC,https://www.uagraria.edu.ec,true,,UAE - La Nueva Universidad Agraria,es,1,1,4,4,_ga _gid _gat _ga_5PM2XSRM63,,0,5,34,6,15,13,28,0,0,6,ninguno
11,Ecuador,UTA,EC,https://uta.edu.ec,true,,UTA,es,1,1,0,0,,,0,3,15,6,2,7,9,0,0,6,ninguno
12,Ecuador,UTB,EC,https://utb.edu.ec,true,,Universidad Técnica de Babahoyo | Por ti UTB,es,1,1,9,6,_gid _gat_gtag_UA_68893477_2 YSC VISITOR_INFO1_LIVE _ga_WNXLYS2MLG _ga,,0,7,32,23,9,0,6,21,0,5,ninguno
13,Ecuador,UTC,EC,https://www.utc.edu.ec,true,,Universidad Técnica de Cotopaxi > Home,es-ES,1,1,10,2,YSC VISITOR_INFO1_LIVE,,0,5,40,39,1,0,19,19,0,2,ninguno
14,Ecuador,UTMACH,EC,https://www.utmachala.edu.ec,true,,Universidad Técnica de Machala,es-ec,1,1,0,0,,,0,4,8,2,6,0,7,1,0,0,ninguno
15,Ecuador,UTM,EC,https://www.utm.edu.ec,true,,Universidad Técnica de Manabí - Inicio,es-es,1,1,2,0,,,0,5,39,23,7,9,14,12,0,13,ninguno
16,Ecuador,UTN,EC,https://www.utn.edu.ec,true,,Universidad Técnica del Norte – Ciencia y Técnica al Servicio del Pueblo,es,1,1,3,2,_ga_SBC1J4DHX0 _ga,,0,4,23,9,5,9,15,8,0,0,ninguno
17,Ecuador,UTEQ,EC,https://www.uteq.edu.ec,true,,UTEQ - Universidad Técnica Estatal de Quevedo,es,1,1,3,3,_ga_WVWWZZ7544 _ga _ga_SSTPXREYGZ,,0,5,110,109,0,1,7,0,0,103,ninguno
18,Ecuador,UTELVT,EC,https://www.utelvt.edu.ec,true,,Universidad Técnica Luis Vargas Torres – Universidad Técnica Luis Vargas Torres,es,1,1,0,0,,,0,4,32,6,9,17,27,5,0,0,ninguno
19,Ecuador,UEB,EC,https://www.ueb.edu.ec,true,,Universidad Estatal de Bolívar,es,1,1,2,0,,CookieYes,0,5,55,28,13,14,27,26,0,2,ninguno
20,Ecuador,UNESUM,EC,https://unesum.edu.ec,true,,UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ – UNESUM,es,1,1,1,0,,,0,2,8,8,0,0,1,7,0,0,ninguno
21,Ecuador,UNEMI,EC,https://www.unemi.edu.ec,true,,UNEMI - ¡La Universidad en línea del Ecuador!,es,1,1,2,2,_ga _ga_MQGK6RGL8F,,0,5,34,28,6,0,6,23,0,5,ninguno
22,Ecuador,UEA,EC,https://www.uea.edu.ec,true,,Universidad Estatal Amazónica – Educación con excelencia académica,es,1,1,2,2,_ga_450T1JQNMR _ga,,0,1,17,0,17,0,17,0,0,0,A
