id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
1,EC,2,mundo,MIT,US,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,,,0,3,8,1,6,1,1,6,0,1,ninguno,4,2026-09-07T22:16:08.809Z
2,EC,2,mundo,Stanford,US,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,YSC VISITOR_INFO1_LIVE _ga_Q0JD4PHRZ7 _ga,,0,1,11,0,0,11,11,0,0,0,AA,1,2026-09-07T22:16:14.548Z
3,EC,2,mundo,Harvard,US,https://www.harvard.edu,true,,Harvard University,en-US,1,1,9,6,_ga_KBLBYHG5EP _ga _gid _gat_UA-2923555-1 _fbp fr,,0,2,23,0,13,10,23,0,0,0,A,2,2026-09-07T22:16:20.344Z
4,EC,2,mundo,Oxford,GB,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,YSC VISITOR_INFO1_LIVE,,1,0,0,0,0,0,0,0,0,0,AAA,5,2026-09-07T22:16:25.820Z
5,EC,2,mundo,Cambridge,GB,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,,,1,2,6,5,0,1,6,0,0,0,ninguno,2,2026-09-07T22:16:31.402Z
6,EC,2,mundo,Caltech,US,https://www.caltech.edu,true,,Home - www.caltech.edu,en,1,1,4,2,_ga_7RL83EX4D4 _ga,,0,4,33,5,0,28,31,0,0,2,ninguno,4,2026-09-07T22:16:36.970Z
7,EC,2,mundo,UC Berkeley,US,https://www.berkeley.edu,true,,"University of California, Berkeley: Home",en-US,1,1,10,5,YSC VISITOR_INFO1_LIVE nmstat _ga_JD06GX6S4V _ga,,0,0,0,0,0,0,0,0,0,0,AAA,2,2026-09-07T22:16:42.392Z
8,EC,2,mundo,Princeton,US,https://www.princeton.edu,true,,Home | Princeton University,en,1,1,2,2,_ga_92L6B9PQCG _ga,,0,0,0,0,0,0,0,0,0,0,AAA,2,2026-09-07T22:16:48.052Z
9,EC,2,mundo,Imperial,GB,https://www.imperial.ac.uk,true,,Imperial College London,en-GB,1,1,6,0,,OneTrust,1,2,6,0,2,4,4,2,0,0,A,4,2026-09-07T22:16:55.013Z
10,EC,2,mundo,U Chicago,US,https://www.uchicago.edu,true,,The University of Chicago,en,1,1,19,9,_gid _gat_UA-373360-31 _gat_UA-3572058-26 _ga_2V4M4Z833J _ga _ga_DBDWJCS0JR nmstat _hjSessionUser_3545609 _hjSession_3545609,,0,1,1,1,0,0,0,0,0,1,ninguno,6,2026-09-07T22:17:01.607Z
11,EC,2,mundo,ETH Zurich,CH,https://ethz.ch,true,,ETH Zürich - Homepage | ETH Zürich,de,1,1,1,0,,OneTrust,1,1,1,1,0,0,1,0,0,0,ninguno,1,2026-09-07T22:17:11.332Z
12,EC,2,mundo,Yale,US,https://www.yale.edu,true,,Yale University,en,1,1,7,6,_ga _gid _gat_gtag_UA_991898_23 nmstat _ga_D491W728G4 _ga,,0,3,19,5,0,14,17,0,0,2,ninguno,3,2026-09-07T22:17:16.722Z
13,EC,2,mundo,UPenn,US,https://www.upenn.edu,true,,University of Pennsylvania,en,1,1,5,4,_ga _gid _gat_UA-78054-1 _ga_LL85393RFV,,0,2,3,1,0,2,3,0,0,0,ninguno,4,2026-09-07T22:17:22.142Z
14,EC,2,mundo,UCL,GB,https://www.ucl.ac.uk,true,,Welcome to UCL | University College London,en,1,1,2,0,,,1,0,0,0,0,0,0,0,0,0,AAA,3,2026-09-07T22:17:28.123Z
15,EC,2,mundo,Cornell,US,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,__utma __utmc __utmz __utmt __utmb _ga_PMZ19X3F8W _ga nmstat _ga_XJK3YSJ0LV,,0,1,5,0,0,5,5,0,0,0,AA,5,2026-09-07T22:17:34.555Z
16,EC,2,mundo,Tsinghua,CN,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,,,0,10,49,39,6,4,11,32,1,5,ninguno,5,2026-09-07T22:17:42.630Z
17,EC,2,mundo,Peking,CN,https://english.pku.edu.cn,true,,Peking University,,1,1,4,3,Hm_lvt_6d2ad9d99c9136dab46c5f969e3bc9ed Hm_lpvt_6d2ad9d99c9136dab46c5f969e3bc9ed HMACCOUNT,,0,5,19,18,1,0,2,14,1,2,ninguno,3,2026-09-07T22:17:51.063Z
18,EC,2,mundo,Johns Hopkins,US,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,14,6,nmstat personalization_id fr _ga_8031WYVC9V _ga _ga_TSX9K66082,,0,3,8,6,0,2,3,5,0,0,ninguno,4,2026-09-07T22:17:56.554Z
19,EC,2,mundo,Columbia,US,https://www.columbia.edu,true,,Columbia University in the City of New York,en,1,1,14,6,YSC VISITOR_INFO1_LIVE _gid _gat_gtag_UA_18290390_1 _ga_09H1KYXPLX _ga,,1,4,52,2,6,44,51,0,0,1,ninguno,1,2026-09-07T22:18:03.039Z
20,EC,2,mundo,Toronto,CA,https://www.utoronto.ca,true,,University of Toronto,en,1,1,14,8,_gcl_au _ga _ga_0X74MN6XS3 IDE _clck _clsk MUID MUID,,0,1,19,0,0,19,19,0,0,0,AA,3,2026-09-07T22:18:08.161Z
21,EC,2,mundo,UCLA,US,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,9,4,YSC VISITOR_INFO1_LIVE _ga_6BMZK7EYHE _ga,,0,1,63,0,0,63,63,0,0,0,AA,3,2026-09-07T22:18:14.824Z
22,EC,2,mundo,NUS,SG,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,7,2,_ga _ga_2T8KTSDET6,,1,7,60,24,21,15,36,23,1,0,ninguno,2,2026-09-07T22:18:23.740Z
23,EC,2,mundo,U Tokyo,JP,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,2,2,_ga_DWSZ09TFCH _ga,,0,8,117,22,91,4,12,85,0,20,ninguno,2,2026-09-07T22:18:43.872Z
24,EC,2,mundo,TUM,DE,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,,,0,1,21,0,0,21,21,0,0,0,AA,5,2026-09-07T22:18:52.472Z
25,EC,2,mundo,Melbourne,AU,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,37,16,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips utag_main_v_id _ga_L55G410M0Q AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg _ga_J6RRCK6F9V _ga_YE8SEG9T0S _ga s_tp s_ppv s_plt,,1,1,1,1,0,0,1,0,0,0,ninguno,4,2026-09-07T22:18:58.457Z
26,EC,2,mundo,Edinburgh,GB,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,,,0,2,37,1,0,36,37,0,0,0,ninguno,3,2026-09-07T22:19:04.258Z
27,EC,2,mundo,EPFL,CH,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,_ga_N6BF9H5G73 _ga,,1,3,102,1,86,15,101,1,0,0,ninguno,4,2026-09-07T22:19:12.434Z
28,EC,2,mundo,Michigan,US,https://umich.edu,true,,University of Michigan,en,1,1,3,0,,,0,2,13,0,5,8,8,5,0,0,A,3,2026-09-07T22:19:17.428Z
29,EC,2,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,,CookieYes,1,0,0,0,0,0,0,0,0,0,AAA,3,2026-09-07T22:19:25.367Z
30,EC,2,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,6,44,18,3,23,40,3,1,0,ninguno,3,2026-09-07T22:19:38.261Z
31,EC,2,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,,,1,5,25,8,12,5,16,8,0,1,ninguno,4,2026-09-07T22:19:49.133Z
32,EC,2,mundo,HKU,HK,https://www.hku.hk,true,,Home | The University of Hong Kong (HKU),en,1,1,4,2,_ga _ga_ZHLLDTLTMG,,0,2,2,1,0,1,1,0,0,1,ninguno,4,2026-09-07T22:19:54.168Z
33,EC,2,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,,,0,3,14,13,1,0,2,12,0,0,ninguno,3,2026-09-07T22:20:09.923Z
34,EC,2,mundo,NYU,US,https://www.nyu.edu,true,,New York University,en,1,1,12,10,_gcl_au _ga_S194DLZYBD _ga test_cookie _ga_YKLBDQJ61W _ga_S4TP6272FF _ga_VR2BFTJ92R _ga_H4KKXQKFSM _ga_9CWXCZX89G _ga_8Y5XM9YCFW,Osano,1,1,2,0,0,2,2,0,0,0,AA,3,2026-09-07T22:20:15.161Z
35,EC,2,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,3,3,_pk_testcookie.299.e5ac _pk_id.299.e5ac _pk_ses.299.e5ac,,0,5,48,5,5,38,47,0,0,1,ninguno,2,2026-09-07T22:20:29.822Z
36,EC,2,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,,OneTrust,1,2,41,1,0,40,40,0,0,1,ninguno,3,2026-09-07T22:20:36.465Z
37,EC,2,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,26,11,_ttp YSC VISITOR_INFO1_LIVE _gcl_au _ga_ZBPHLZYTS4 _ga _tt_enable_cookie _ttp _hjSessionUser_3662797 _hjSession_3662797 test_cookie,,0,3,45,2,7,36,36,7,0,2,ninguno,4,2026-09-07T22:20:45.271Z
38,EC,2,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,,,0,1,9,0,0,9,9,0,0,0,AA,4,2026-09-07T22:20:54.036Z
39,EC,2,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,17,11,YSC VISITOR_INFO1_LIVE __utma __utmc __utmz __utmt_UA-3896341-5 __utmb _ga _ga_EFHNRXCSHV _clck _clsk,,1,1,7,0,0,7,7,0,0,0,AA,3,2026-09-07T22:21:02.628Z
40,EC,2,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,51,24,_gcl_au _gid _gat_UA-4619980-2 _gat_UA-3161158-1 YSC VISITOR_INFO1_LIVE _ga_1ET7C6PX1B _ga _ttp nmstat _ga_WL8VVSMZQ2 _ga_Z9M4Y77VXZ _hjSessionUser_2148424 _hjSession_2148424 IDE _tt_enable_cookie _ttp _fbp fr _uetsid _uetvid MUID _clck _clsk,OneTrust,0,0,0,0,0,0,0,0,0,0,AAA,1,2026-09-07T22:21:09.966Z
41,EC,2,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,_gcl_au _ga_Q74JQJCYJK _ga IDE,,0,2,20,0,5,15,15,5,0,0,A,4,2026-09-07T22:21:15.466Z
42,EC,2,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,68,23,_gcl_au _ga_KXYY9PEVLH _ga s_ecid AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg _ttp IDE _hjSessionUser_550296 _hjSession_550296 mbox _tt_enable_cookie _ttp s_ips s_tp s_ppv _fbp fr s_cc Hm_lvt_1426d6da699eb30a7515d65930a0dbff Hm_lpvt_1426d6da699eb30a7515d65930a0dbff HMACCOUNT YSC VISITOR_INFO1_LIVE,,0,3,15,1,1,13,14,1,0,0,ninguno,2,2026-09-07T22:21:22.033Z
43,EC,2,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,1,0,,Tarteaucitron,0,2,9,1,0,8,8,0,0,1,ninguno,3,2026-09-07T22:21:29.385Z
44,EC,2,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,_ga_P51JW1MC7Y _ga,,0,2,5,0,5,0,1,4,0,0,A,3,2026-09-07T22:21:35.777Z
45,EC,2,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,_ga_TWFEJJKL35 _ga,OneTrust,0,1,7,0,0,7,7,0,0,0,AA,4,2026-09-07T22:21:43.384Z
46,EC,2,mundo,UT Austin,US,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,25,12,_gid _gat_UA-11887171-8 _gat_UA-11887171-2 _ga_PTWC4TZX3W _ga _ga_EVFNF1Z4Q4 _ga_4W6P6NJBBS _ga_X3HZEK54PC _clck _clsk MUID MUID,,0,1,25,0,0,25,25,0,0,0,AA,3,2026-09-07T22:21:48.530Z
47,EC,2,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,48,9,_gcl_au _ga _ga_JLHM9WH4JV _ga_3T65WK0BM8 _clck _fbp _clsk fr IDE,,0,3,11,1,7,3,3,7,0,1,ninguno,3,2026-09-07T22:21:54.896Z
48,EC,2,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,38,13,_gcl_au _ga_NP4QFYPSX6 _ga _ga_DX9Q4KPWT3 _ga_PWNJKZG9MN _ttp _ga_DWDBVB5J8J test_cookie _ga_8LPDJ1LB78 _tt_enable_cookie _ttp _fbp fr,,1,4,12,4,2,6,7,5,0,0,ninguno,2,2026-09-07T22:22:01.311Z
49,EC,2,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,,,1,3,7,6,0,1,6,0,1,0,ninguno,1,2026-09-07T22:22:07.617Z
50,EC,2,mundo,CUHK,HK,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,20,11,__utma __utmc __utmz __utmt __utmb _ga _fbp fr _clck _clsk _ga_3VWFFZCDJ6,,0,6,47,6,10,31,34,11,0,2,ninguno,2,2026-09-07T22:22:16.497Z
51,EC,2,mundo,CMU,US,https://www.cmu.edu,true,,Carnegie Mellon University | CMU,en,1,1,10,6,_clck _ga _ga_1XQYSMEBVE _gcl_au test_cookie _clsk,OneTrust,1,2,3,1,0,2,2,1,0,0,ninguno,5,2026-09-07T22:22:23.881Z
52,EC,2,mundo,Wisconsin,US,https://www.wisc.edu,true,,University of Wisconsin–Madison,en,1,1,6,4,_ga_D04HXCEERG _ga _ga _ga_PLJ9E3ZY82,,1,1,45,0,0,45,45,0,0,0,AA,2,2026-09-07T22:22:29.590Z
53,EC,2,mundo,USTC,CN,https://en.ustc.edu.cn,true,,University of Science and Technology of China,,1,1,5,3,Hm_lvt_1c599d6edf63923fd73ae82fd7293a24 Hm_lpvt_1c599d6edf63923fd73ae82fd7293a24 HMACCOUNT,,0,5,12,11,1,0,3,7,1,1,ninguno,2,2026-09-07T22:22:36.003Z
54,EC,2,mundo,WUSTL,US,https://washu.edu,true,,Home | WashU,en-US,1,1,14,12,_ga_T94ZQ4ENLH _ga utag_main__sn utag_main__se utag_main__ss utag_main__st utag_main_ses_id utag_main__pn utag_main_v_id utag_main_dc_visit utag_main_dc_event utag_main_dc_region,,0,3,25,5,0,20,20,4,0,1,ninguno,5,2026-09-07T22:22:43.969Z
55,EC,2,mundo,Monash,AU,https://www.monash.edu,true,,Monash University | Study at Monash Uni | Melbourne,en,1,1,12,3,YSC VISITOR_INFO1_LIVE utag_main,,1,2,18,0,1,17,18,0,0,0,A,3,2026-09-07T22:22:50.138Z
56,EC,2,mundo,SNU,KR,https://en.snu.ac.kr,true,,Seoul National University,en,1,1,3,2,_ga_PVQ4G3Z4TR _ga,,0,3,22,0,14,8,22,0,0,0,A,3,2026-09-07T22:23:00.723Z
57,EC,2,mundo,Heidelberg,DE,https://www.uni-heidelberg.de/en,true,,Heidelberg University,en,1,1,2,0,,,0,2,83,1,0,82,82,0,0,1,ninguno,2,2026-09-07T22:23:07.484Z
58,EC,2,mundo,HKUST,HK,https://hkust.edu.hk/,true,,The Hong Kong University of Science and Technology ｜World's Top 50 Universities｜Leading Research Excellence,en,1,1,4,4,_gid _gat_UA-126519042-1 _ga_472DPMG63L _ga,,0,7,18,14,3,1,11,5,0,2,ninguno,4,2026-09-07T22:23:16.959Z
59,EC,2,mundo,Karolinska,SE,https://ki.se/en,true,,Karolinska Institutet - a medical university,en,1,1,2,0,,,0,1,1,1,0,0,1,0,0,0,ninguno,3,2026-09-07T22:23:31.282Z
60,EC,2,mundo,TU Delft,NL,https://www.tudelft.nl/en/,true,,Delft University of Technology | TU Delft | Challenge. Change. Impact!,en,1,1,1,0,,Cookiebot,1,3,23,0,22,1,18,5,0,0,A,2,2026-09-07T22:23:39.067Z
61,EC,2,mundo,ANU,AU,https://www.anu.edu.au/,true,,The Australian National University,en,1,1,11,5,_fbp fr personalization_id _ga_E1GV4NJHV2 _ga,OneTrust,1,1,1,0,0,1,1,0,0,0,AA,4,2026-09-07T22:23:46.619Z
62,EC,2,mundo,KU Leuven,BE,https://www.kuleuven.be/english/,true,,KU Leuven,en,1,1,6,0,,OneTrust,1,3,5,1,3,1,5,0,0,0,ninguno,2,2026-09-07T22:23:54.058Z
63,EC,2,mundo,Queensland,AU,https://www.uq.edu.au/,true,,The University of Queensland,en,1,1,29,14,_gcl_au test_cookie _clck _uetsid _uetvid MUID _clsk _ga_QG0JXDMRML _ga _hjSessionUser_2849117 _hjSession_2849117 _fbp fr MUID,,0,2,13,1,0,12,13,0,0,0,ninguno,2,2026-09-07T22:24:02.804Z
64,EC,2,ecuador,EPN,EC,https://www.epn.edu.ec,true,,,es,1,1,29,0,,,0,3,4,2,2,0,2,2,0,0,ninguno,0,2026-09-07T22:24:08.857Z
65,EC,2,ecuador,ESPOL,EC,https://www.espol.edu.ec,true,,Escuela Superior Politécnica del Litoral,es,1,1,5,4,_ga_2QNGYSJLK4 _ga _gid _gat_gtag_UA_5343888_2,CookieYes,1,4,77,2,67,8,65,10,0,2,ninguno,3,2026-09-07T22:24:14.717Z
